municipality,group,variable,month,9. Días camas disponibles maternidad,TOTAL
YAMPARAEZ,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,319,319
YANACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,487,487
YOTALA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,348,348
ZUDAÑEZ,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,261,261
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,60,60
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,434,434
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,217,217
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
APOLO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,120,120
ARANI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,248,248
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,403,403
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,434,434
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,337,337
AUCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
AYATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,929,929
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,527,527
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
BAURES,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,456,456
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,168,168
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2024-03-01,277,277
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,208,208
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,310,310
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,271,271
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,341,341
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,247,247
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,527,527
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,160,160
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,434,434
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,372,372
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,311,311
CHIPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,29,29
CHOQUE COTA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
CHUA COCANI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,248,248
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,54,54
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,306,306
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,465,465
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1771,1771
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,589,589
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,11995,11995
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,558,558
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2024-03-01,465,465
COLLANA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,29,29
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,527,527
COLPA BELGICA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,310,310
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
COPACABANA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,5,5
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,154,154
CORO CORO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
COROICO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,248,248
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,403,403
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,279,279
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,620,620
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,372,372
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
CUEVO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,557,557
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,91,91
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,6841,6841
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,310,310
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,620,620
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,372,372
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,87,87
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,84,84
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,279,279
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,682,682
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
HUACARAJE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,313,313
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,248,248
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
HUATAJATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,59,59
ICLA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,434,434
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,403,403
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,342,342
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,371,371
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1178,1178
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,13915,13915
LA RIVERA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,28,28
LAJA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,340,340
LICOMA PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,60,60
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,372,372
LLICA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,58,58
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,214,214
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,371,371
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
MALLA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
MECAPACA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,32,32
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,87,87
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,618,618
MOCOMOCO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,32,32
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,310,310
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1054,1054
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,2433,2433
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,59,59
NAZACARA DE PACAJES,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,29,29
OCURI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,744,744
OKINAWA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
ORURO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,5269,5269
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,341,341
PAILON,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,168,168
PALCA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,120,120
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,460,460
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
PAPEL PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
PASORAPA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,121,121
PELECHUCO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,744,744
POCONA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,403,403
POJO (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,308,308
POOPO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
PORCO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,90,90
POROMA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,992,992
PORONGO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,60,60
PORTACHUELO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,434,434
PORVENIR,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,120,120
POTOSI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,2359,2359
PRESTO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,310,310
PUCARANI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,248,248
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,151,151
PUERTO PEREZ,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,302,302
PUERTO RICO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,76,76
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1393,1393
PUNA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,521,521
PUNATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1052,1052
QUIABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
QUILLACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1951,1951
QUIME,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,118,118
QUIRUSILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
RAVELO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,527,527
REYES,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
RIBERALTA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,589,589
ROBORE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,275,275
RURRENABAQUE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,248,248
SABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
SACABA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1891,1891
SACABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,119,119
SACACA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,150,150
SAIPINA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,310,310
SAMAIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,81,81
SAN BENITO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
SAN BORJA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,435,435
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,341,341
SAN CARLOS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
SAN IGNACIO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,469,469
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1333,1333
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,30,30
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
SAN JOAQUIN,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,458,458
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,88,88
SAN JULIAN,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,860,860
SAN LORENZO(PND),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,3,3
SAN LUCAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1705,1705
SAN MATIAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,280,280
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
SAN PEDRO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,156,156
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,86,86
SAN PEDRO DE CURAHUARA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,496,496
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,92,92
SAN RAFAEL,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
SAN RAMON BENI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
SANTA ANA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,248,248
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,20881,20881
SANTA ROSA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,261,261
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,341,341
SANTIAGO DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
SANTIVAÑES,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,150,150
SAPAHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
SENA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,69,69
SHINAOTA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,399,399
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
SICAYA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
SIPE SIPE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,217,217
SOPACHUY,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,310,310
SORACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
SORATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,4,4
SUCRE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,2821,2821
TACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
TACACOMA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,31,31
TACOBAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,120,120
TACOPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
TAPACARI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
TARABUCO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,465,465
TARATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
TARIJA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1887,1887
TARVITA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,868,868
TEOPONTE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
TIAHUANACU,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
TIPUANI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
TIQUIPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,779,779
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,651,651
TOCO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,182,182
TOLATA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,310,310
TOMAVE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,30,30
TOMINA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,682,682
TORO TORO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,191,191
TOTORA(CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,403,403
TOTORA(ORR),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,124,124
TRINIDAD,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1802,1802
TUPIZA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,436,436
TURCO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,372,372
UNCIA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
URUBICHA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,62,62
UYUNI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,516,516
VACAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,248,248
VALLEGRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,687,687
VIACHA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1054,1054
VILA VILA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,403,403
VILLA CHARCAS,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,371,371
VILLA MONTES,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,372,372
VILLA RIVERO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,186,186
VILLA SERRANO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,465,465
VILLA TUNARI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,1573,1573
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles maternidad,2024-03-01,527,527
VILLAZON,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,589,589
VINTO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,682,682
VITICHI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,155,155
WARNES,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,785,785
YACO,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,32,32
YACUIBA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,957,957
YAMPARAEZ,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,339,339
YANACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,93,93
YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,553,553
YOTALA,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,403,403
ZUDAÑEZ,internaciones dias camas,dias camas disponibles maternidad,2024-03-01,279,279
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,91,91
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,151,151
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,428,428
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,210,210
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,181,181
APOLO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,150,150
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,114,114
ARANI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,240,240
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,390,390
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,420,420
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,181,181
AYATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,960,960
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,510,510
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
BAURES,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,434,434
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,570,570
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,123,123
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,58,58
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2024-04-01,355,355
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,116,116
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,90,90
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,300,300
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2024-04-01,180,180
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,168,168
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,330,330
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,30,30
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,270,270
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,480,480
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,120,120
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2024-04-01,60,60
