municipality,group,variable,month,7. Días camas ocupadas maternidad,TOTAL
OKINAWA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,4,4
OMEREQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,9,9
ORURO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1774,1774
PADILLA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,68,68
PAILON,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,74,74
PALCA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,4,4
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,38,38
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,35,35
PAPEL PAMPA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
PASORAPA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
PATACAMAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,62,62
PAZÑA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
PELECHUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
POCOATA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,23,23
POCONA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,39,39
POJO (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,13,13
POOPO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,6,6
PORCO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
POROMA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,7,7
PORONGO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,16,16
PORTACHUELO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,84,84
PORVENIR,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,4,4
POTOSI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1397,1397
PRESTO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,6,6
PUCARANI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,10,10
PUERTO CARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,5,5
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,4,4
PUERTO PEREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,59,59
PUERTO RICO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,14,14
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,52,52
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,344,344
PUNA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,18,18
PUNATA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,315,315
QUIABAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
QUILLACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,350,350
QUIME,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,8,8
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
RAVELO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,6,6
REYES,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,48,48
RIBERALTA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,212,212
ROBORE,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,34,34
RURRENABAQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,139,139
SABAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
SACABA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,839,839
SACABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
SACACA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,30,30
SAIPINA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,12,12
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,9,9
SAMAIPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,12,12
SAN BENITO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
SAN BORJA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,226,226
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,34,34
SAN CARLOS,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,6,6
SAN IGNACIO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,77,77
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,538,538
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,36,36
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,21,21
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,363,363
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
SAN JULIAN,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,167,167
SAN LORENZO(PND),internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
SAN LUCAS,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,75,75
SAN MATIAS,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,38,38
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,27,27
SAN PEDRO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,14,14
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,26,26
SAN PEDRO DE CURAHUARA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
SAN PEDRO DE MACHA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,22,22
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
SAN RAFAEL,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,4,4
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,14,14
SANTA ANA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,102,102
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,12505,12505
SANTA ROSA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,31,31
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,11,11
SANTIAGO DE HUARI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
SANTIAGO DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
SANTIVAÑES,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,4,4
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
SAPAHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,6,6
SENA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,21,21
SHINAOTA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,133,133
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,6,6
SICAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
SIPE SIPE,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,45,45
SOPACHUY,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,14,14
SORACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
SORATA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,20,20
SUCRE,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1326,1326
TACACOMA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
TACOPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
TAHUA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
TARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,30,30
TARATA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
TARIJA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,688,688
TARVITA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,24,24
TEOPONTE,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,12,12
TIAHUANACU,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,5,5
TINGUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
TIPUANI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
TIQUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,254,254
TIRAQUE (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,13,13
TOLEDO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
TOMAVE,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
TOMINA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,8,8
TORO TORO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,16,16
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,34,34
TOTORA(ORR),internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
TRINIDAD,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,936,936
TUPIZA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,149,149
UNCIA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,10,10
URUBICHA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,8,8
UYUNI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,139,139
VACAS,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,1,1
VALLEGRANDE,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,129,129
VIACHA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,183,183
VILA VILA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,5,5
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,18,18
VILLA MONTES,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,170,170
VILLA RIVERO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
VILLA SERRANO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,13,13
VILLA TUNARI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,483,483
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,7,7
VILLAZON,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,114,114
VINTO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,192,192
VITICHI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,3,3
WARNES,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,380,380
YACO,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,10,10
YACUIBA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,380,380
YAMPARAEZ,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,11,11
YANACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,2,2
YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,251,251
YOTALA,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,12,12
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas maternidad,2024-03-01,7,7
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,126,126
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,7,7
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,55,55
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
ANTEQUERA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,15,15
ARAMPAMPA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,242,242
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,10,10
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,49,49
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,11,11
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,107,107
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,23,23
BOLIVAR,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,10,10
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,71,71
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,9,9
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,7,7
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,81,81
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,24,24
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,30,30
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,39,39
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,256,256
CARAPARI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
CARIPUYO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,8,8
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,68,68
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,77,77
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,19,19
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,43,43
CHUA COCANI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,68,68
CHUMA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,8,8
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,158,158
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,603,603
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,9,9
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4629,4629
COIPASA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,166,166
COLLANA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,31,31
COLPA BELGICA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,13,13
COLQUENCHA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,7,7
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,73,73
CONCEPCION,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,34,34
COPACABANA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
CORIPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,9,9
COROICO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,79,79
COTAGAITA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
COTOCA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,393,393
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,46,46
CUEVO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
CULPINA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,21,21
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
DESAGUADERO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
EL ALTO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3482,3482
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
EL PUENTE(TJA),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
EL TORNO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,176,176
EL VILLAR,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,5,5
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,13,13
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,69,69
ESCOMA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,13,13
EUCALIPTUS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,20,20
FILADELFIA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
GUANAY,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,29,29
GUAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,8,8
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,302,302
GUTIERREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,10,10
HUACARAJE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
HUACARETA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,9,9
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
HUANUNI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,56,56
HUARINA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
HUATAJATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
ICLA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,5,5
INCAHUASI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,23,23
INQUISIVI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,9,9
IXIAMAS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
LA ASUNTA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,57,57
LA GUARDIA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,137,137
LA PAZ,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3276,3276
LA RIVERA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
LAGUNILLAS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
LAJA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,7,7
LAS CARRERAS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
LLALLAGUA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,295,295
LLICA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
LURIBAY,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,5,5
MACHARETI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
MAGDALENA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,38,38
MAIRANA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,79,79
MALLA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
MAPIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,23,23
MINEROS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,23,23
MIZQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,44,44
MOCOMOCO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
MOJOCOYA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,14,14
MONTEAGUDO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,267,267
MONTERO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,832,832
MORO MORO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
MOROCHATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,5,5
OCURI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,29,29
OKINAWA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
OMEREQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,9,9
ORURO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1954,1954
PADCAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
PADILLA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,35,35
PAILON,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,93,93
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,34,34
PAMPA AULLAGAS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,42,42
PAPEL PAMPA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
PATACAMAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,91,91
PAZÑA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
PELECHUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
POCOATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,24,24
POCONA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,8,8
POJO (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
POOPO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
PORCO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,15,15
POROMA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,76,76
PORONGO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
PORTACHUELO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,70,70
PORVENIR,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
POTOSI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1439,1439
PRESTO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
PUCARANI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,20,20
PUERTO ACOSTA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
PUERTO CARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,180,180
PUERTO RICO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,31,31
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,60,60
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,336,336
PUNA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,14,14
PUNATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,316,316
QUIABAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1,1
QUILLACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,325,325
QUIME,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,10,10
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
RAVELO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,14,14
REYES,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,50,50
RIBERALTA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,1031,1031
ROBORE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,41,41
RURRENABAQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,87,87
SABAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
SACABA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,879,879
SACABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,2,2
SACACA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,8,8
SAIPINA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,3,3
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,4,4
SAMAIPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,8,8
SAN ANDRES,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,11,11
SAN BENITO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
SAN BORJA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,229,229
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,30,30
SAN CARLOS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,8,8
SAN IGNACIO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,68,68
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,473,473
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,34,34
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,18,18
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,313,313
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,6,6
SAN JULIAN,internaciones dias camas,dias camas ocupadas maternidad,2024-04-01,172,172
