,group,variable,month,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTALES
TIAWANACU,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,1,0,1,3
TINGUIPAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,2,1,2,6
TIPUANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,1,0,1,6
TIQUIPAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,13,9,16,13,51
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,1,6,9,17
TOCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,3,3,8,15
TOLATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,1,2,6,10
TOMAVE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,0,0,1
TOMINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,0,0,1,5
TORO TORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,1,1,3
TOTORA(CBBA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,6,0,1,11
TOTORA(ORR),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,2,0,0,3
TRINIDAD,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,21,13,16,18,68
TUPIZA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,15,16,0,3,34
TURCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,0,0,1
UMALA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,1,0,1,3
UNCIA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,0,0,1
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,6,11,0,0,17
URUBICHA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,0,0,1
UYUNI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,1,0,0,4
VACAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,8,101,110
VALLEGRANDE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,9,3,4,18
VIACHA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,30,18,4,7,59
VILA VILA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,2,4,6
VILLA CHARCAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,8,0,1,12
VILLA MONTES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,10,13,15,18,56
VILLA NUEVA (LOMA ALTA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,1,4,0,5
VILLA RIVERO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,0,2,2,6
VILLA SERRANO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,3,7,1,0,11
VILLA TUNARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,21,23,1,0,45
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,3,0,1,6
VILLAZON,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,16,12,0,2,30
VINTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,15,9,12,8,44
VITICHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,6,0,0,7
WARNES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,39,33,0,0,72
YACUIBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,29,31,25,10,95
YAMPARAEZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,2,4,1,7
YANACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,0,0,0,2,2
YAPACANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,5,5,1,14,25
YOTALA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,4,2,0,0,6
YUNCHARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,2,2,7,1,12
ZUDAÑEZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-02-01,1,0,2,0,3
ACACIO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,1,2,0,5
ACHACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,7,4,4,6,21
ACHOCALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,6,1,4,3,14
AIQUILE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,4,4,7,18
ALALAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,3,1,4
ALCALA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,2,0,2,5
ALTO BENI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,5,5,0,0,10
ANCORAIMES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,2,1,3
ANDAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,3,1,5
ANTEQUERA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,1,0,0,3
ANZALDO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,0,5,2,8
APOLO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,7,4,9,8,28
ARAMPAMPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,3,1,5
ARANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,3,0,1,8
ARBIETO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,5,5,6,4,20
ARQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,3,1,0,5
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,16,11,0,1,28
ATOCHA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,2,2,0,6
AYATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,2,6,2,13
AZURDUY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,2,3,3,10
BATALLAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,5,16,5,29
BAURES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,2,6,2,11
BELEN DE URMIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,0,2,2
BELLA FLOR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,1,1,1,4
BERMEJO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,18,13,10,4,45
BETANZOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,10,5,2,3,20
BOLIVAR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,1,5,3,11
BOLPEBRA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,2,0,0,3
BOYUIBE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,3,5,6,18
BUENA VISTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,6,4,2,2,14
CABEZAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,5,2,2,12
CAIROMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,0,0,1
"CAIZA ""D""",vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,5,0,0,8
CAJUATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,1,0,2
CALACOTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,0,0,1
CALAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,1,1,3,8
CAMARGO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,10,5,5,4,24
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,0,1,0,3
CAMIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,9,2,0,0,11
CAPINOTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,4,2,0,10
CAQUIAVIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,1,0,0,2
CARACOLLO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,7,7,0,1,15
CARANAVI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,20,13,7,8,48
CARAPARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,17,7,3,10,37
CARIPUYO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,3,1,0,4
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,1,5,5,13
CATACORA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,0,1,1
CHALLAPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,10,3,3,1,17
CHAQUI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,1,0,0,3
CHARAGUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,5,1,4,14
CHARAÑA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,0,0,0,3
CHIMORE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,7,3,4,18
CHOQUE COTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,1,0,3,6
CHUMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,3,2,4,10
CKOCHAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,0,0,5,7
CLIZA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,8,6,4,1,19
COBIJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,7,15,6,9,37
COCAPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,6,5,9,24
COCHABAMBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,120,109,86,104,419
COLCAPIRHUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,12,18,2,1,33
"COLCHA ""K""",vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,1,1,0,3
COLOMI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,8,4,1,0,13
COLPA BELGICA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,4,0,0,6
COLQUECHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,2,4,7,16
COLQUENCHA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,2,0,0,2
COLQUIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,1,1,2
COMARAPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,12,0,0,15
CONCEPCION,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,9,5,6,5,25
COPACABANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,1,6,4,14
CORIPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,6,0,0,10
CORO CORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,2,3,0,5
COROICO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,3,0,0,3
CORQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,0,0,0,1
COTAGAITA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,4,7,4,16
COTOCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,8,9,1,0,18
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,13,14,12,4,43
CUEVO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,2,2,3,10
CULPINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,2,0,3
CURVA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,0,0,1
DESAGUADERO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,0,0,0,4
EL ALTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,140,155,107,91,493
EL CHORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,2,0,2
EL PUENTE(STC),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,3,1,1,8
EL PUENTE(TJA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,0,2,0,5
EL TORNO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,30,28,10,6,74
EL VILLAR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,2,2,0,5
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,6,10,10,30
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,13,7,0,2,22
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,2,0,4,6
EXALTACION,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,5,5,10
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,21,8,0,0,29
FILADELFIA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,0,2,2,5
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,9,4,0,0,13
GUANAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,2,5,12,21
GUAQUI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,0,1,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,16,12,3,1,32
GUTIERREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,0,1,0,5
HUACARETA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,7,7,4,5,23
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,1,0,2
HUACHACALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,2,0,0,2
HUANUNI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,8,3,1,16
HUARACAJE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,0,1,2
HUARINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,0,1,0,2
HUATAJATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,0,0,0,1
HUAYLLAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,0,0,0,2
ICHOCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,3,0,4
ICLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,1,3,1,6
INCAHUASI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,1,0,1,3
INQUISIVI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,2,3,6,15
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,0,2,0,3
IXIAMAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,2,0,1,4
JESUS DE MACHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,3,1,2,8
LA ASUNTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,14,11,4,4,33
LA GUARDIA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,11,10,6,1,28
LA PAZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,209,228,146,129,712
LAGUNILLAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,1,4,6,12
LAJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,2,0,1,3
LAS CARRERAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,2,2,1,6
LICOMA PAMPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,1,0,0,3
LLALLAGUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,1,22,14,39
LORETO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,6,2,2,11
LURIBAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,4,0,2,7
MACHACAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,4,0,1,8
MACHARETI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,0,4,0,6
MAGDALENA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,7,1,0,1,9
MAIRANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,2,0,0,5
MALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,2,0,2
MAPIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,3,2,2,11
MECAPACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,2,0,1,4
MINEROS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,0,1,0,4
MIZQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,5,5,9,5,24
MOCOMOCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,2,0,0,2
MOJOCOYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,1,0,7,11
MONTEAGUDO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,11,16,4,1,32
MONTERO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,97,96,37,25,255
MORO MORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,2,1,1,4
MOROCHATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,2,10,6,21
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,0,0,0,2
OCURI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,3,1,2,8,14
OKINAWA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,6,5,1,1,13
OMEREQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,2,11,7,21
ORURO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,78,45,5,3,131
PADCAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,13,11,1,1,26
PADILLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,7,6,2,3,18
PAILON,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,8,10,27,27,72
PALCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,4,4,1,1,10
PALOS BLANCOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,10,9,0,3,22
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,0,0,0,2
PAMPA GRANDE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,2,1,1,6
PAPEL PAMPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,2,1,2,6
PASORAPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,0,1,1
PATACAMAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,11,7,0,1,19
PAZÑA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,0,0,0,1
PELECHUCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,1,2,3
POCOATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,0,2,1,3
POCONA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,14,6,8,8,36
POJO (CBBA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,2,6,5,15
POOPO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,1,0,0,1,2
PORCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,5,3,0,0,8
POROMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,4,10,7,23
PORONGO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,6,3,0,0,9
PORTACHUELO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,8,4,0,1,13
PORVENIR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,2,4,1,2,9
POSTRER VALLE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,0,1,0,0,1
POTOSI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-03-01,42,44,9,9,104
