municipality,group,variable,month,Vacunaciones antiamarílica en personas a part,TOTAL
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,4,4
EUCALIPTUS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,2,2
EXALTACION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,5,5
FERNANDEZ ALONSO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,2,2
FILADELFIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,5,5
GUANAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,79,79
GUAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,9,9
GUAYARAMERIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,10,10
HUACARETA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,12,12
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1,1
HUACHACALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1,1
ICLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,2,2
INCAHUASI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,51,51
INGAVI (HUMAITA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,6,6
INQUISIVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,66,66
IRUPANA (VILLA DE LANZA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,191,191
IXIAMAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,53,53
JESUS DE MACHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,7,7
LA ASUNTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1860,1860
LA GUARDIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,54,54
LA PAZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3244,3244
LAGUNILLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,5,5
LAJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,19,19
LAS CARRERAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,14,14
LLALLAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,134,134
LORETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1,1
LURIBAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,65,65
MACHACAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,6,6
MACHARETI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,37,37
MAGDALENA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,25,25
MAIRANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,22,22
MALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,4,4
MAPIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,29,29
MECAPACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,8,8
MINEROS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,39,39
MIZQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,330,330
MOCOMOCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,2,2
MOJOCOYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,12,12
MONTEAGUDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,45,45
MONTERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,200,200
MORO MORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,6,6
MOROCHATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,86,86
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,4,4
OCURI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,22,22
OKINAWA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3,3
OMEREQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,998,998
ORURO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,594,594
PADCAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,23,23
PADILLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,753,753
PAILON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,153,153
PALCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,58,58
PALOS BLANCOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,450,450
PAMPA GRANDE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,4,4
PASORAPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,47,47
PATACAMAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,9,9
PELECHUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,14,14
POCOATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,64,64
POCONA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,98,98
POJO (CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,513,513
POROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,35,35
PORONGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,15,15
PORTACHUELO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,56,56
POSTRER VALLE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,2,2
POTOSI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,331,331
PRESTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,62,62
PUCARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,16,16
PUERTO ACOSTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,27,27
PUERTO CARABUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,10,10
PUERTO PEREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,2,2
PUERTO QUIJARRO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3,3
PUERTO SILES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,37,37
PUERTO SUAREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,68,68
PUERTO VILLARROEL,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1216,1216
PUNA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,10,10
PUNATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,208,208
QUIABAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3,3
QUILLACOLLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,488,488
QUIME,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,31,31
REYES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,36,36
RIBERALTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,83,83
ROBORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3,3
RURRENABAQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,354,354
SACABA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,6740,6740
SACABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,4,4
SACACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,19,19
SAIPINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,13,13
SAMAIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,6,6
SAN AGUSTIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,5,5
SAN ANDRES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,39,39
SAN ANTONIO DE LOMERIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3,3
SAN BENITO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,232,232
SAN BORJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,42,42
SAN BUENA VENTURA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,22,22
SAN CARLOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,19,19
SAN IGNACIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,8,8
SAN IGNACIO DE VELASCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,121,121
SAN JAVIER(BNI),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,73,73
SAN JAVIER(STC),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,4,4
SAN JOAQUIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,2,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,7,7
SAN JUAN DE YAPACANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,6,6
SAN JULIAN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,529,529
SAN LORENZO(PND),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,10,10
SAN LORENZO(TJA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,18,18
SAN LUCAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,199,199
SAN MATIAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,112,112
SAN PEDRO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,4,4
SAN PEDRO DE BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,140,140
SAN PEDRO DE TIQUINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,6,6
SAN PEDRO(PND),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,7,7
SANTA ANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,10,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,5195,5195
SANTA ROSA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,35,35
SANTA ROSA DEL SARA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,7,7
SANTIAGO DE MACHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3,3
SANTIVAÑES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,16,16
SAPAHAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3,3
SICAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1,1
SIPE SIPE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,25,25
SOPACHUY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1,1
SORACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,5,5
SORATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,21,21
SUCRE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1043,1043
TACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,7,7
TACACOMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,33,33
TACOBAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,67,67
TACOPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,258,258
TAPACARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,86,86
TARABUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,34,34
TARACO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,5,5
TARATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,52,52
TARIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,849,849
TARVITA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3,3
TEOPONTE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,66,66
TIAWANACU,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,11,11
TINGUIPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,84,84
TIPUANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,39,39
TIQUIPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,526,526
TIRAQUE (CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1003,1003
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,2,2
TOCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,17,17
TOLATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,124,124
TOLEDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,9,9
TOMAVE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,8,8
TOMINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,32,32
TORO TORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,31,31
TOTORA(CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,78,78
TRINIDAD,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,570,570
TUPIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,17,17
UNCIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,57,57
URIONDO (A. CONCEPCION),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,28,28
UYUNI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,10,10
VACAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,50,50
VALLEGRANDE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,14,14
VIACHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,4,4
VILLA MONTES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,316,316
VILLA RIVERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,87,87
VILLA SERRANO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,3,3
VILLA TUNARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1008,1008
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,23,23
VILLAZON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,230,230
VINTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,10,10
VITICHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,35,35
WARNES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,32,32
YACO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,58,58
YACUIBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,115,115
YAMPARAEZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1,1
YANACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,174,174
YAPACANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,35,35
YOCALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,2,2
YUNCHARA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,1,1
ZUDAÑEZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-04-01,8,8
ACACIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,1,1
ACHACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,82,82
AIQUILE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,214,214
ALALAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,78,78
ALCALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,2,2
ANDAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,4,4
ANZALDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,8,8
APOLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,26,26
ARBIETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,33,33
ARQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,185,185
ASCENCION DE GUARAYOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,3,3
ATOCHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,72,72
AUCAPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,38,38
AYATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,51,51
AYO AYO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,37,37
AZURDUY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,136,136
BATALLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,14,14
BELEN DE URMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,13,13
BERMEJO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,27,27
BETANZOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,4,4
BOLIVAR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,72,72
BOLPEBRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,5,5
BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,41,41
CABEZAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,143,143
CAIROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,34,34
"CAIZA ""D""",otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,20,20
CAJUATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,19,19
CALAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,17,17
CAMARGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,10,10
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,5,5
CAMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,59,59
CAPINOTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,14,14
CAQUIAVIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,4,4
CARACOLLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,10,10
CARANAVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,746,746
CARAPARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,16,16
CARIPUYO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,26,26
CHALLAPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,3,3
CHARAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,2,2
CHARAÑA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,7,7
CHAYANTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,13,13
CHIMORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,548,548
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,37,37
CHUMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,113,113
CLIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,1,1
COBIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,209,209
COCHABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,3759,3759
COLCAPIRHUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,9,9
"COLCHA ""K""",otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,8,8
COLLANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,3,3
COLOMI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,39,39
COLPA BELGICA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,1,1
COLQUECHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,8,8
COLQUIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,23,23
COMANCHE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,66,66
COMARAPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,15,15
CONCEPCION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,1,1
CORIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,11,11
CORO CORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,2,2
COROICO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,64,64
COTAGAITA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,167,167
COTOCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,57,57
CUATRO CAÑADAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,96,96
CUEVO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,7,7
CULPINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,138,138
CURAHUARA DE CARANGAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,88,88
DESAGUADERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,3,3
EL ALTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,1697,1697
EL CHORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,4,4
EL PUENTE(STC),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,30,30
EL PUENTE(TJA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,5,5
EL TORNO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,30,30
EL VILLAR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,2,2
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,7,7
ENTRE RIOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,116,116
EXALTACION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,29,29
FERNANDEZ ALONSO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,31,31
FILADELFIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,17,17
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,17,17
GUANAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,58,58
GUAYARAMERIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,25,25
HUACARETA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,24,24
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,1,1
HUANUNI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,1,1
HUARACAJE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,38,38
ICLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,29,29
INCAHUASI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,819,819
INQUISIVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,81,81
IRUPANA (VILLA DE LANZA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,34,34
IXIAMAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,25,25
JESUS DE MACHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,29,29
LA ASUNTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,296,296
LA GUARDIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,34,34
LA PAZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,3451,3451
LAGUNILLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,5,5
LAJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,32,32
LAS CARRERAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,15,15
LICOMA PAMPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,13,13
LLALLAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,862,862
LORETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,38,38
LURIBAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,25,25
MACHACAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,3,3
MACHARETI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,17,17
MAGDALENA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,132,132
MAIRANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,26,26
MALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,17,17
MAPIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,32,32
MECAPACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,5,5
MINEROS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,125,125
MIZQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,97,97
MOCOMOCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,23,23
MOJOCOYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,10,10
MONTEAGUDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,91,91
MONTERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,302,302
MORO MORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,4,4
MOROCHATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,71,71
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,20,20
OCURI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,42,42
OKINAWA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,6,6
OMEREQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,225,225
ORURO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,379,379
PADCAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,29,29
PADILLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2006-05-01,120,120
