,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1292,12,1304
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,85,6,91
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,24,11,35
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,2,5
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,34,14,48
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,2,7
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,25,41,66
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,13,1,14
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,25,33
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,0,2
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,23,8,31
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,2,2
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,21,2,23
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,10,24
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,18,10,28
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,7,11
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,4,18
CORQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,8,10
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,41,12,53
COTOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,111,35,146
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,22,78,100
CUEVO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,7,2,9
CULPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,22,23,45
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,1,5
CURVA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,3,3
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,1,9
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1305,140,1445
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,7,5,12
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,2,16
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,7,10,17
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,83,1,84
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,4,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,22,24,46
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,51,7,58
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,2,10
ESMERALDA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,3,3
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,6,1,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,1,6
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,1,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,18,6,24
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,3,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,34,0,34
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,7,10,17
GUANAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,22,8,30
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,3,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,74,20,94
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,18,11,29
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,9,23
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,3,4
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,46,1,47
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,0,8
HUARINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,4,12
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,1,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,4,9
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,6,1,7
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,3,6
ICLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,11,15
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,17,31
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,18,21
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,8,16
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,2,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,13,0,13
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,66,15,81
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,145,7,152
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1154,21,1175
LA RIVERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,5,9
LAJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,9,18
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,36,20,56
LLICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,13,1,14
LORETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,17,20
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,8,16
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,0,1
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,5,14
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,21,5,26
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,11,1,12
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,2,4
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,43,6,49
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,15,4,19
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,46,1,47
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,30,22,52
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,11,13,24
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,1,2
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,12,17
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,56,10,66
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,243,7,250
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,2,11
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,17,22
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,3,3
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,0,2
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,13,34,47
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,19,4,23
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,4,9
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,526,2,528
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,17,6,23
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,13,4,17
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,41,37,78
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,18,7,25
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,44,6,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,1,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,13,0,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,8,11
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,1,6
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,32,5,37
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,2,7
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,6,11
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,31,39
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,10,7,17
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,19,12,31
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,2,11
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,19,7,26
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,20,27,47
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,13,12,25
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,38,2,40
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,1,4
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,1,3
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,385,9,394
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,6,14,20
PUCARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,38,24,62
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,7,13,20
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,18,27
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,2,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,2,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,40,19,59
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,13,1,14
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,25,3,28
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,82,10,92
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,24,19,43
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,57,0,57
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,3,6
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,213,26,239
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,8,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,29,38
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,17,23,40
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,244,49,293
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,18,3,21
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,34,1,35
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,10,1,11
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,220,38,258
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,6,2,8
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,27,15,42
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,3,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,7,15,22
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,17,8,25
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,2,4
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,12,7,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,5,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,7,12
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,22,1,23
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,65,20,85
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,10,11,21
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,33,8,41
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,50,20,70
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,109,24,133
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,27,3,30
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,24,10,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,15,1,16
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,77,31,108
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,3,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,19,14,33
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,44,52,96
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,18,17,35
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,12,8,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,1,5
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,21,0,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,20,38,58
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,3,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,3,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,8,8
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,18,7,25
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,9,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,19,0,19
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,30,0,30
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2447,102,2549
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,16,1,17
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,21,4,25
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,6,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,6,3,9
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,6,4,10
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,3,5
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,5,9
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,2,2
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,5,9
SENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,4,7
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,36,7,43
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,12,15,27
SICAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,6,7
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,89,6,95
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,8,16
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,11,12,23
SORATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,23,32
SUCRE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,706,25,731
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,7,7
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,10,2,12
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,15,16
TAHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,0,1,1
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,28,28,56
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,23,23,46
TARACO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,6,3,9
TARATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,10,3,13
TARIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,349,18,367
TARVITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,13,22
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,3,17
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,9,23
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,23,19,42
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,10,24
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,93,39,132
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,22,17,39
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,0,3
TOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,3,7
TOLATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,6,10
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,2,10,12
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,15,11,26
TOMINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,11,20
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,21,7,28
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,26,15,41
TOTORA(ORR),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,1,4
TRINIDAD,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,185,7,192
TUPIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,65,8,73
TURCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,2,5
UMALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,10,15
UNCIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,22,13,35
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,21,7,28
URUBICHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,7,7,14
UYUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,39,3,42
VACAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,11,19,30
VALLEGRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,24,0,24
VIACHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,51,15,66
VILA VILA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,8,11
VILLA CHARCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,33,10,43
VILLA MONTES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,59,19,78
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,1,8,9
VILLA RIVERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,10,1,11
VILLA SERRANO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,13,15,28
VILLA TUNARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,107,11,118
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,7,10,17
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,61,8,69
VINTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,69,0,69
VITICHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,6,20
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,0,4
WARNES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,183,19,202
YACO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,5,13,18
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,124,20,144
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,9,7,16
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,8,1,9
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,85,14,99
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,14,4,18
YOTALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,7,5,12
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,4,7,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-04-01,3,6,9
ACACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,6,7,13
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,45,23,68
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,12,6,18
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,34,16,50
ALALAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,1,10,11
ALCALA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,1,13,14
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,16,1,17
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,8,15,23
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,3,3,6
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,3,3,6
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,7,6,13
APOLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-05-01,21,20,41
