,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,8,0,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,2,5
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,4,4
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,6,6
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,45,20,65
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,39,16,55
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,9,14
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,1,3
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,0,3
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,5,15
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,25,41,66
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,13,7,20
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,17,9,26
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,14,0,14
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,10,14
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,14,7,21
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,39,5,44
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,1,6
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,44,10,54
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,37,0,37
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,7,9
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,23,11,34
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,67,20,87
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,12,9,21
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,18,24
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,2,5
CATACORA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,50,21,71
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,12,11,23
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,28,46,74
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,14,19,33
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,36,8,44
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,28,5,33
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,9,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,12,9,21
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,33,14,47
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,25,9,34
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,124,12,136
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,12,14,26
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1358,5,1363
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,80,0,80
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,18,2,20
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,1,3
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,31,3,34
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,3,14
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,24,43,67
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,0,6
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,33,43
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,2,8
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,23,6,29
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,4,4
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,32,6,38
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,13,11,24
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,25,6,31
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,2,9
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,27,14,41
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,4,8
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,28,19,47
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,112,13,125
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,22,27,49
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,0,1
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,5,10
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,19,24,43
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,9,2,11
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,3,3
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,2,4
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1524,123,1647
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,4,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,19,1,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,9,19
EL TORNO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,100,3,103
EL VILLAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,9,2,11
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,22,22,44
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,73,6,79
ESCOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,3,9
EUCALIPTUS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,0,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,4,5
EXALTACION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,2,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,17,5,22
FILADELFIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,8,13,21
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,29,2,31
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,13,19
GUANAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,23,11,34
GUAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,4,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,106,11,117
GUTIERREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,23,13,36
HUACARETA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,10,21
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,5,12
HUACHACALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,49,7,56
HUARACAJE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,1,8
HUARINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,5,11
HUATAJATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,8,3,11
HUAYLLAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,2,4
HUMANATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,2,6
ICHOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,8,8
ICLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,12,17
INCAHUASI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,12,27,39
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,1,1
INQUISIVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,18,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,14,12,26
IXIAMAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,17,0,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,16,2,18
LA ASUNTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,96,5,101
LA GUARDIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,146,1,147
LA PAZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1241,9,1250
LA RIVERA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,5,11
LAJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,21,8,29
LAS CARRERAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,1,2
LLALLAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,70,31,101
LLICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,8,0,8
LORETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,0,1
LURIBAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,4,11
MACHACAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,0,4
MACHARETI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,13,4,17
MAGDALENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,15,12,27
MAIRANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,14,5,19
MALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,1,2
MAPIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,37,0,37
MECAPACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,13,11,24
MINEROS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,37,11,48
MIZQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,31,22,53
MOCOMOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,6,17
MOJOCOYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,14,19
MONTEAGUDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,52,11,63
MONTERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,219,7,226
MORO MORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,2,5
MOROCHATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,9,9,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,5,6
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,2,4
OCURI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,22,32
OKINAWA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,27,2,29
OMEREQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,7,9
ORURO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,524,3,527
PADCAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,17,6,23
PADILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,25,5,30
PAILON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,33,54,87
PALCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,17,6,23
PALOS BLANCOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,34,6,40
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,13,5,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,4,8
PASORAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,34,3,37
PAZÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,0,6
PELECHUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,9,11,20
POCOATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,36,43
POCONA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,7,17
POJO (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,19,8,27
POOPO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,9,4,13
PORCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,28,1,29
POROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,23,32,55
PORONGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,9,6,15
PORTACHUELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,35,3,38
PORVENIR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,3,9
POTOSI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,441,15,456
PRESTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,18,22
PUCARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,2,4
PUCARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,31,16,47
PUERTO ACOSTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,6,11
PUERTO CARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,14,24
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,9,15
PUERTO PEREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,4,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,34,24,58
PUERTO RICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,14,3,17
PUERTO SILES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,17,12,29
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,84,3,87
PUNA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,19,26,45
PUNATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,43,0,43
QUIABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,0,5
QUILLACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,176,22,198
QUIME,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,10,6,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,14,22,36
REYES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,23,0,23
RIBERALTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,243,44,287
ROBORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,13,2,15
RURRENABAQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,26,4,30
SABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,0,4
SACABA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,245,20,265
SACABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,0,7
SACACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,25,33,58
SAIPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,6,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,10,14
SAMAIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,17,1,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2,1,3
SAN ANDRES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,6,17
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,2,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,6,5,11
SAN BENITO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,14,2,16
SAN BORJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,65,32,97
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,3,14
SAN CARLOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,35,0,35
SAN IGNACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,28,13,41
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,98,16,114
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,9,12
SAN JAVIER(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,36,0,36
SAN JOAQUIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,5,2,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,26,0,26
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,19,1,20
SAN JULIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,81,33,114
SAN LORENZO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,9,5,14
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,22,8,30
SAN LUCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,57,44,101
SAN MATIAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,17,13,30
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,11,3,14
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,7,1,8
SAN PEDRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,13,1,14
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,36,42,78
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,8,8,16
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,4,5,9
SAN PEDRO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,0,2,2
SAN RAFAEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,19,4,23
SAN RAMON BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,3,11,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,18,0,18
SANTA ANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,21,18,39
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-03-01,2494,99,2593
