,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,17,5,22
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,8,13,21
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,29,2,31
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,13,19
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,23,11,34
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,4,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,104,11,115
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,23,13,36
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,10,21
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,5,12
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,49,7,56
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,1,8
HUARINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,5,11
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,8,3,11
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,2,2,4
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,2,6
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,8,8
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,5,13,18
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,12,27,39
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,1,1
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,5,18,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,14,12,26
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,17,0,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,16,2,18
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,96,11,107
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,145,1,146
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1196,9,1205
LA RIVERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,5,5,10
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,21,8,29
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,1,2
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,70,31,101
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,8,0,8
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,0,1
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,4,11
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,0,4
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,13,4,17
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,15,12,27
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,14,5,19
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,1,2
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,37,0,37
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,13,12,25
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,37,11,48
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,31,22,53
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,6,17
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,5,14,19
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,52,11,63
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,239,7,246
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,2,5
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,9,9,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,5,6
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,2,2,4
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,10,22,32
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,22,0,22
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,2,7,9
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,523,3,526
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,17,6,23
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,25,5,30
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,33,54,87
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,17,6,23
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,35,5,40
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,13,5,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,4,8
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,34,3,37
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,0,6
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,9,11,20
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,33,40
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,10,7,17
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,19,8,27
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,9,4,13
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,28,6,34
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,23,32,55
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,9,6,15
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,35,3,38
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,3,9
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,440,15,455
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,18,22
PUCARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,2,2,4
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,31,16,47
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,5,12,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,10,14,24
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,9,15
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,4,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,34,24,58
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,14,3,17
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,1,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,17,12,29
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,87,3,90
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,19,26,45
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,43,0,43
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,5,0,5
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,176,22,198
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,10,6,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,0,1
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,14,22,36
REYES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,23,0,23
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,257,50,307
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,13,2,15
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,26,4,30
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,0,4
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,245,20,265
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,0,7
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,26,33,59
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,6,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,10,14
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,17,1,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,2,1,3
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,6,17
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,2,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,5,11
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,14,2,16
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,65,32,97
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,3,14
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,35,0,35
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,28,20,48
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,98,15,113
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,9,12
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,36,0,36
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,5,2,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,26,0,26
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,19,1,20
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,81,33,114
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,9,5,14
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,21,8,29
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,57,44,101
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,17,13,30
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,3,14
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,1,8
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,13,1,14
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,36,47,83
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,8,8,16
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,5,9
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,2,2
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,19,4,23
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,11,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,18,0,18
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,21,18,39
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,2498,99,2597
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,16,0,16
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,27,2,29
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,8,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,10,5,15
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,4,10
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,1,5
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,1,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,2,6
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,13,2,15
SENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,1,8
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,42,3,45
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,18,17,35
SICAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,3,7
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,68,5,73
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,15,6,21
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,5,11
SORATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,16,21,37
SUCRE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,619,54,673
TACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,2,1,3
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,1,12
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,15,10,25
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,9,3,12
TAHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,0,3
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,30,13,43
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,16,27,43
TARACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,8,0,8
TARATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,12,2,14
TARIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,387,2,389
TARVITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,12,23
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,9,8,17
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,17,6,23
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,31,10,41
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,28,2,30
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,80,29,109
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,15,15,30
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,0,1
TOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,9,2,11
TOLATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,5,0,5
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,1,8
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,19,9,28
TOMINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,11,22
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,21,0,21
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,27,10,37
TOTORA(ORR),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,0,4
TRIGAL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,185,3,188
TUPIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,72,17,89
TURCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,4,1,5
UMALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,3,5,8
UNCIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,33,21,54
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,22,9,31
URUBICHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,7,13
UYUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,46,3,49
VACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,13,14,27
VALLEGRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,20,1,21
VIACHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,78,15,93
VILA VILA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,15,16
VILLA CHARCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,34,14,48
VILLA MONTES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,56,10,66
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,2,3,5
VILLA RIVERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,12,5,17
VILLA SERRANO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,10,17,27
VILLA TUNARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,128,10,138
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,19,8,27
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,67,9,76
VINTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,104,0,104
VITICHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,6,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,0,7
WARNES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,157,27,184
YACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,6,10,16
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,123,13,136
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,10,6,16
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,7,2,9
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,91,11,102
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,6,17
YOTALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,8,11,19
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,1,10,11
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,0,1,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-03-01,11,9,20
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,7,8,15
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,36,19,55
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,19,3,22
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,29,12,41
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,0,6,6
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,3,3,6
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,18,1,19
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,8,11,19
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,1,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,6,2,8
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,8,12,20
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,19,14,33
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,2,6,8
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,13,4,17
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,16,19,35
ARQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,16,12,28
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,52,1,53
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,19,5,24
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,6,4,10
AYATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,6,7,13
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,11,5,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,27,23,50
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,5,5,10
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,16,4,20
BAURES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,8,1,9
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,0,4,4
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,2,6,8
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,41,30,71
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,35,28,63
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,5,14,19
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,2,0,2
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,5,2,7
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,15,3,18
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,34,51,85
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,6,4,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,14,6,20
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,16,2,18
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,1,5,6
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,12,4,16
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,21,3,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,5,1,6
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,62,2,64
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,27,11,38
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,2,13,15
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,13,58,71
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-04-01,82,15,97
