,group,variable,month,14.1 DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,14.1 DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SAN BUENA VENTURA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,1.0,2.0
SAN CARLOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,8.0,1.0,9.0
SAN IGNACIO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,0.0,2.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,6.0,4.0,10.0
SAN JOAQUIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,0.0,1.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,1.0,2.0
SAN JULIAN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,23.0,20.0,43.0
SAN MATIAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,1.0,3.0
SAN PEDRO DE BUENA VISTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,0.0,1.0,1.0
SAN RAFAEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,0.0,2.0
SAN RAMON BENI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,0.0,2.0
SANTA ANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,5.0,5.0,10.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,278.0,221.0,499.0
SANTA ROSA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,0.0,1.0
SHINAOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,12.0,4.0,16.0
SICA SICA (VILLA AROMA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,2.0,3.0
SOPACHUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,0.0,1.0
TARABUCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,0.0,1.0
TARIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,11.0,12.0,23.0
TIQUIPAYA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,4.0,6.0
TOTORA(CBBA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,0.0,1.0,1.0
TRIGAL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,0.0,1.0
TRINIDAD,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,38.0,21.0,59.0
TUPIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,3.0,4.0
VALLEGRANDE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,7.0,0.0,7.0
VILLA MONTES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,4.0,2.0,6.0
VILLA TUNARI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,37.0,27.0,64.0
VINTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,12.0,13.0,25.0
WARNES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,7.0,5.0,12.0
YACUIBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,23.0,12.0,35.0
YAMPARAEZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,1.0,0.0,1.0
YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,15.0,7.0,22.0
ZUDAÑEZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-04-01,2.0,3.0,5.0
AIQUILE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,1.0,2.0
APOLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,0.0,1.0
ATOCHA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,0.0,1.0
AZURDUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,8.0,11.0
BELLA FLOR,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,4.0,1.0,5.0
BERMEJO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,5.0,3.0,8.0
CAMARGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,3.0,6.0
CAMIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,4.0,7.0
CAPINOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,0.0,2.0,2.0
CARANAVI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,6.0,4.0,10.0
CHALLAPATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,3.0,4.0
CHARAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,2.0,3.0
CLIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,4.0,2.0,6.0
COBIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,17.0,16.0,33.0
COCHABAMBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,40.0,27.0,67.0
COLQUECHACA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,3.0,6.0
COTOCA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,1.0,4.0
EL ALTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,87.0,86.0,173.0
EL TORNO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,5.0,3.0,8.0
GUAYARAMERIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,12.0,13.0,25.0
HUACAYA (VILLA DE HUACAYA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,5.0,8.0
HUANUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,3.0,6.0
LA GUARDIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,4.0,7.0
LA PAZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,41.0,25.0,66.0
LLALLAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,3.0,5.0
MAGDALENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,1.0,2.0
MAPIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,0.0,1.0
MONTEAGUDO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,1.0,2.0
MONTERO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,34.0,25.0,59.0
OMEREQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,1.0,2.0
ORURO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,11.0,9.0,20.0
PAILON,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,2.0,5.0
PALOS BLANCOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,0.0,1.0
PORTACHUELO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,6.0,6.0,12.0
POTOSI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,55.0,34.0,89.0
PUERTO QUIJARRO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,4.0,6.0
PUERTO RICO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,2.0,3.0
PUERTO SUAREZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,0.0,1.0
PUERTO VILLARROEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,8.0,3.0,11.0
PUNATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,0.0,2.0,2.0
QUILLACOLLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,22.0,42.0,64.0
RIBERALTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,32.0,37.0,69.0
ROBORE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,0.0,2.0
RURRENABAQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,5.0,8.0
SACABA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,3.0,5.0
SAN BORJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,0.0,2.0,2.0
SAN BUENA VENTURA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,0.0,1.0,1.0
SAN CARLOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,2.0,5.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,7.0,1.0,8.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,0.0,2.0
SAN JULIAN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,30.0,28.0,58.0
SAN MATIAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,0.0,2.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,0.0,2.0,2.0
SAN PABLO DE LIPEZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,0.0,1.0,1.0
SAN RAFAEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,1.0,2.0
SAN RAMON BENI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,0.0,2.0
SANTA ANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,180.0,172.0,352.0
SANTA ROSA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,0.0,1.0
SHINAOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,4.0,3.0,7.0
SICA SICA (VILLA AROMA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,5.0,2.0,7.0
SOPACHUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,3.0,3.0,6.0
TARIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,7.0,13.0,20.0
TIQUIPAYA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,6.0,5.0,11.0
TOTORA(CBBA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,0.0,1.0
TRINIDAD,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,28.0,15.0,43.0
TUPIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,1.0,1.0,2.0
VALLEGRANDE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,4.0,10.0,14.0
VILLA MONTES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,3.0,5.0
VILLA TUNARI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,15.0,11.0,26.0
VINTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,4.0,11.0,15.0
WARNES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,2.0,2.0,4.0
YACUIBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,15.0,10.0,25.0
YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-05-01,14.0,7.0,21.0
AIQUILE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,0.0,1.0,1.0
ATOCHA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,0.0,2.0
AZURDUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,4.0,4.0,8.0
BAURES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,0.0,1.0
BERMEJO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,1.0,3.0
BETANZOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,0.0,2.0,2.0
BUENA VISTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,0.0,2.0
CAMARGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,0.0,1.0,1.0
CAMIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,3.0,3.0,6.0
CAPINOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,0.0,1.0
CARANAVI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,2.0,3.0
CHALLAPATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,9.0,1.0,10.0
CHARAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,6.0,5.0,11.0
CLIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,1.0,3.0
COBIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,11.0,17.0,28.0
COCHABAMBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,52.0,35.0,87.0
COMARAPA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,3.0,0.0,3.0
COTOCA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,5.0,3.0,8.0
CULPINA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,0.0,1.0
EL ALTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,89.0,85.0,174.0
EL TORNO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,4.0,4.0,8.0
GUAYARAMERIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,9.0,15.0,24.0
GUTIERREZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,0.0,1.0
HUANUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,5.0,2.0,7.0
LA GUARDIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,3.0,0.0,3.0
LA PAZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,61.0,61.0,122.0
LLALLAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,7.0,10.0,17.0
MAGDALENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,4.0,2.0,6.0
MONTEAGUDO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,0.0,1.0,1.0
MONTERO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,23.0,14.0,37.0
ORURO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,26.0,17.0,43.0
PAILON,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,3.0,2.0,5.0
PORTACHUELO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,6.0,5.0,11.0
POTOSI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,57.0,33.0,90.0
PUERTO SUAREZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,1.0,3.0
PUERTO VILLARROEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,4.0,2.0,6.0
PUNATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,6.0,8.0
QUILLACOLLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,44.0,30.0,74.0
RIBERALTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,26.0,18.0,44.0
ROBORE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,3.0,1.0,4.0
RURRENABAQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,4.0,6.0,10.0
SACABA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,5.0,2.0,7.0
SAN BORJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,3.0,3.0,6.0
SAN BUENA VENTURA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,0.0,1.0,1.0
SAN CARLOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,2.0,3.0
SAN IGNACIO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,0.0,1.0,1.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,7.0,1.0,8.0
SAN JOAQUIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,0.0,1.0,1.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,4.0,0.0,4.0
SAN JULIAN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,15.0,14.0,29.0
SAN LUCAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,0.0,1.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,0.0,1.0,1.0
SAN PABLO DE LIPEZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,1.0,2.0
SAN PEDRO DE BUENA VISTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,0.0,8.0,8.0
SAN RAFAEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,1.0,3.0
SAN RAMON BENI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,0.0,1.0
SANTA ANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,6.0,7.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,123.0,119.0,242.0
SHINAOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,4.0,4.0,8.0
SOPACHUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,0.0,1.0
TARABUCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,0.0,1.0
TARIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,15.0,9.0,24.0
TIQUIPAYA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,4.0,9.0,13.0
TRINIDAD,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,16.0,8.0,24.0
TUPIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,7.0,3.0,10.0
UYUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,5.0,1.0,6.0
VALLEGRANDE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,5.0,6.0
VILLA MONTES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,4.0,6.0
VILLA TUNARI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,6.0,9.0,15.0
VINTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,9.0,11.0
WARNES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,1.0,2.0,3.0
YACUIBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,1.0,3.0
YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,4.0,1.0,5.0
YOCALLA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-06-01,2.0,1.0,3.0
AIQUILE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,6.0,7.0
ATOCHA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,7.0,5.0,12.0
AZURDUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,8.0,9.0,17.0
BAURES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,0.0,1.0
BERMEJO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,8.0,3.0,11.0
CAMARGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,6.0,1.0,7.0
CAMIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,5.0,2.0,7.0
CAPINOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,3.0,3.0,6.0
CARANAVI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,6.0,7.0,13.0
CHALLAPATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,8.0,3.0,11.0
CHARAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,1.0,2.0
CLIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,2.0,2.0,4.0
COBIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,7.0,6.0,13.0
COCHABAMBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,54.0,31.0,85.0
COLCAPIRHUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,2.0,2.0,4.0
COMARAPA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,3.0,3.0,6.0
COTAGAITA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,0.0,1.0
COTOCA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,6.0,2.0,8.0
CULPINA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,1.0,2.0
EL ALTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,105.0,66.0,171.0
EL TORNO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,8.0,6.0,14.0
ENTRE RIOS TRJ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,7.0,4.0,11.0
GUAYARAMERIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,8.0,15.0,23.0
HUACHACALLA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,0.0,1.0,1.0
HUANUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,6.0,3.0,9.0
LA GUARDIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,7.0,1.0,8.0
LA PAZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,75.0,73.0,148.0
LLALLAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,4.0,5.0,9.0
MAGDALENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,7.0,3.0,10.0
MONTEAGUDO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,3.0,2.0,5.0
MONTERO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,24.0,13.0,37.0
ORURO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,38.0,23.0,61.0
PAILON,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,0.0,2.0,2.0
PALOS BLANCOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,1.0,2.0
PATACAMAYA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,0.0,1.0,1.0
PORTACHUELO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,5.0,6.0,11.0
POTOSI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,54.0,27.0,81.0
PUERTO QUIJARRO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,2.0,1.0,3.0
PUERTO RICO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,0.0,1.0,1.0
PUERTO VILLARROEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,9.0,5.0,14.0
PUNATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,8.0,1.0,9.0
QUILLACOLLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,65.0,48.0,113.0
RIBERALTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,13.0,7.0,20.0
ROBORE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,1.0,2.0
RURRENABAQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,2.0,1.0,3.0
SACABA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,13.0,8.0,21.0
SAN BORJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,0.0,3.0,3.0
SAN CARLOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,5.0,3.0,8.0
SAN IGNACIO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,1.0,2.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,2.0,5.0,7.0
SAN JULIAN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,26.0,14.0,40.0
SAN LUCAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,0.0,1.0,1.0
SAN MATIAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,0.0,1.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,0.0,1.0,1.0
SAN RAFAEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,0.0,2.0,2.0
SANTA ANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,2.0,3.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,184.0,154.0,338.0
SHINAOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,11.0,17.0,28.0
SICA SICA (VILLA AROMA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,3.0,2.0,5.0
TARABUCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,0.0,1.0,1.0
TARIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,26.0,11.0,37.0
TIQUIPAYA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,8.0,7.0,15.0
TOTORA(CBBA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,0.0,1.0
TRINIDAD,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,13.0,10.0,23.0
UYUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,0.0,1.0
VALLEGRANDE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,3.0,3.0,6.0
VILLA MONTES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,2.0,2.0,4.0
VILLA TUNARI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,74.0,61.0,135.0
VINTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,5.0,5.0,10.0
WARNES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,3.0,3.0,6.0
YACUIBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,15.0,5.0,20.0
YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,5.0,8.0,13.0
YOCALLA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-07-01,1.0,3.0,4.0
AIQUILE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,1.0,3.0
ATOCHA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,5.0,6.0
AZURDUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,5.0,7.0,12.0
BERMEJO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,3.0,5.0
BUENA VISTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,0.0,2.0
CAIROMA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,3.0,4.0
CAMARGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,27.0,22.0,49.0
CAMIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,5.0,6.0,11.0
CAPINOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,0.0,1.0
