,group,variable,month,14.2 NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,14.2 NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
COBIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,14.0,17.0,31.0
COCHABAMBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,40.0,30.0,70.0
COLCAPIRHUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,2.0,5.0
COLQUECHACA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,13.0,10.0,23.0
COMARAPA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,1.0,2.0
COTOCA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,4.0,0.0,4.0
CUATRO CAÑADAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,2.0,4.0
CULPINA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,1.0,2.0
EL ALTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,153.0,149.0,302.0
EL TORNO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,0.0,1.0,1.0
ENTRE RIOS TRJ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,1.0,3.0
GUAYARAMERIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,1.0,4.0
GUTIERREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,0.0,1.0
HUANUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,1.0,2.0
LA GUARDIA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,7.0,9.0
LA PAZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,128.0,142.0,270.0
LLALLAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,10.0,3.0,13.0
MONTEAGUDO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,5.0,5.0,10.0
MONTERO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,35.0,23.0,58.0
ORURO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,38.0,23.0,61.0
PAILON,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,1.0,2.0
PALOS BLANCOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,0.0,2.0
PORTACHUELO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,9.0,12.0
POTOSI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,48.0,33.0,81.0
PUERTO QUIJARRO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,0.0,1.0
PUERTO SUAREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,0.0,2.0,2.0
PUERTO VILLARROEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,4.0,8.0,12.0
PUNATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,8.0,13.0,21.0
QUILLACOLLO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,12.0,7.0,19.0
QUIME,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,0.0,1.0
RIBERALTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,10.0,1.0,11.0
ROBORE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,3.0,6.0
RURRENABAQUE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,3.0,4.0
SACABA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,22.0,13.0,35.0
SAN BORJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,0.0,3.0
SAN CARLOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,4.0,6.0
SAN IGNACIO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,5.0,7.0,12.0
SAN JOAQUIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,0.0,2.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,0.0,2.0,2.0
SAN JULIAN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,6.0,5.0,11.0
SAN LUCAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,2.0,2.0,4.0
SAN MATIAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,0.0,1.0,1.0
SAN PEDRO DE BUENA VISTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,0.0,1.0
SAN RAMON SCZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,0.0,1.0,1.0
SANTA ANA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,318.0,280.0,598.0
SENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,4.0,1.0,5.0
SHINAOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,9.0,13.0,22.0
SICA SICA (VILLA AROMA),diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,4.0,5.0
TARABUCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,2.0,3.0
TARIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,61.0,45.0,106.0
TARVITA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,0.0,1.0
TIQUIPAYA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,7.0,6.0,13.0
TOTORA(CBBA),diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,3.0,6.0
TRINIDAD,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,5.0,11.0,16.0
UYUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,0.0,3.0
VALLEGRANDE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,0.0,3.0,3.0
VILLA TUNARI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,18.0,6.0,24.0
VINTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,3.0,1.0,4.0
WARNES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,1.0,2.0,3.0
YACUIBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,42.0,37.0,79.0
YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-05-01,19.0,6.0,25.0
AIQUILE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,4.0,0.0,4.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,11.0,7.0,18.0
ATOCHA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,4.0,0.0,4.0
AZURDUY,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,4.0,5.0
BERMEJO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,2.0,5.0,7.0
BETANZOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,12.0,5.0,17.0
BOYUIBE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,0.0,1.0,1.0
BUENA VISTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,2.0,0.0,2.0
CAMARGO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
CAMIRI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,10.0,10.0,20.0
CAPINOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
CARANAVI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,4.0,2.0,6.0
CHALLAPATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,11.0,9.0,20.0
CHARAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,6.0,3.0,9.0
CLIZA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,5.0,2.0,7.0
COBIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,31.0,33.0,64.0
COCHABAMBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,53.0,40.0,93.0
COLCAPIRHUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
COMARAPA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,4.0,6.0,10.0
CONCEPCION,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
COTOCA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,5.0,6.0
CUATRO CAÑADAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,1.0,2.0
CULPINA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,3.0,2.0,5.0
EL ALTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,106.0,100.0,206.0
EL TORNO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,5.0,5.0,10.0
ENTRE RIOS TRJ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,1.0,2.0
GUAYARAMERIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,9.0,10.0,19.0
HUANUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
LA GUARDIA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,2.0,3.0,5.0
LA PAZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,76.0,62.0,138.0
LLALLAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,10.0,7.0,17.0
MAGDALENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
MOJINETE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
MONTEAGUDO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,3.0,1.0,4.0
MONTERO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,40.0,34.0,74.0
ORURO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,19.0,9.0,28.0
PAILON,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,3.0,5.0,8.0
PORTACHUELO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,3.0,7.0,10.0
POTOSI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,53.0,39.0,92.0
PUERTO RICO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,0.0,1.0,1.0
PUERTO SUAREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,3.0,2.0,5.0
PUERTO VILLARROEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,2.0,9.0,11.0
PUNATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,9.0,9.0,18.0
QUILLACOLLO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,7.0,6.0,13.0
RIBERALTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,8.0,16.0,24.0
ROBORE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,3.0,2.0,5.0
RURRENABAQUE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,9.0,6.0,15.0
SACABA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,8.0,7.0,15.0
SAN BORJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,3.0,1.0,4.0
SAN CARLOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,4.0,5.0
SAN IGNACIO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,2.0,3.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,10.0,6.0,16.0
SAN JOAQUIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,0.0,1.0,1.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,5.0,1.0,6.0
SAN JULIAN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,8.0,1.0,9.0
SAN LUCAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,5.0,1.0,6.0
SAN MATIAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
SAN RAMON SCZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,239.0,254.0,493.0
SANTA ROSA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,2.0,0.0,2.0
SENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
SHINAOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,12.0,9.0,21.0
SOPACHUY,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,2.0,1.0,3.0
TARABUCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,3.0,4.0,7.0
TARIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,20.0,17.0,37.0
TARVITA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,0.0,1.0,1.0
TIPUANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,0.0,1.0
TIQUIPAYA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,4.0,7.0,11.0
TRINIDAD,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,7.0,6.0,13.0
UYUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,1.0,1.0,2.0
VALLEGRANDE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,6.0,2.0,8.0
VILLA TUNARI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,11.0,10.0,21.0
VINTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,2.0,1.0,3.0
WARNES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,5.0,2.0,7.0
YACUIBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,20.0,13.0,33.0
YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,16.0,16.0,32.0
YOCALLA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,0.0,1.0,1.0
ZUDAÑEZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-06-01,0.0,1.0,1.0
AIQUILE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,6.0,6.0,12.0
ATOCHA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
BERMEJO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,2.0,0.0,2.0
BOYUIBE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,0.0,1.0,1.0
CAMARGO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,2.0,0.0,2.0
CAMIRI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,6.0,5.0,11.0
CAPINOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,2.0,3.0
CARANAVI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,3.0,2.0,5.0
CHALLAPATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,3.0,4.0
CHARAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,5.0,4.0,9.0
CLIZA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,1.0,2.0
COBIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,36.0,34.0,70.0
COCHABAMBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,37.0,35.0,72.0
COMARAPA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,0.0,2.0,2.0
CONCEPCION,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,3.0,1.0,4.0
COTOCA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,5.0,2.0,7.0
CULPINA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,1.0,2.0
EL ALTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,109.0,87.0,196.0
EL TORNO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,2.0,6.0,8.0
ENTRE RIOS TRJ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,3.0,0.0,3.0
GUAYARAMERIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,19.0,7.0,26.0
GUTIERREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
LA GUARDIA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,2.0,1.0,3.0
LA PAZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,67.0,66.0,133.0
LLALLAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,12.0,5.0,17.0
MAGDALENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,0.0,2.0,2.0
MONTEAGUDO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,4.0,2.0,6.0
MONTERO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,16.0,11.0,27.0
ORURO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,12.0,13.0,25.0
PAILON,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,2.0,2.0,4.0
PALOS BLANCOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,0.0,1.0,1.0
PORTACHUELO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,5.0,5.0,10.0
POTOSI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,17.0,10.0,27.0
PUERTO QUIJARRO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,0.0,1.0,1.0
PUERTO RICO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,3.0,4.0
PUERTO SUAREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,3.0,1.0,4.0
PUERTO VILLARROEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,5.0,5.0,10.0
PUNATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,5.0,2.0,7.0
QUILLACOLLO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,8.0,7.0,15.0
RIBERALTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,10.0,7.0,17.0
ROBORE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,4.0,3.0,7.0
RURRENABAQUE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,2.0,3.0
SACABA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,12.0,8.0,20.0
SAN BORJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,2.0,0.0,2.0
SAN CARLOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,1.0,2.0
SAN IGNACIO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,4.0,0.0,4.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,10.0,7.0,17.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
SAN JULIAN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,6.0,2.0,8.0
SAN LUCAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
SAN MIGUEL DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
SAN RAFAEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
SAN RAMON SCZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
SANTA ANA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,0.0,3.0,3.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,287.0,289.0,576.0
SHINAOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,5.0,2.0,7.0
TACOPAYA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
TARABUCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
TARIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,17.0,10.0,27.0
TIQUIPAYA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,3.0,4.0
TOTORA(CBBA),diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,0.0,1.0
TRINIDAD,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,14.0,14.0,28.0
UYUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,3.0,0.0,3.0
VALLEGRANDE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,0.0,3.0,3.0
VILLA TUNARI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,49.0,34.0,83.0
VINTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,1.0,2.0,3.0
WARNES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,2.0,1.0,3.0
YACUIBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,19.0,20.0,39.0
YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,12.0,17.0,29.0
YOCALLA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-07-01,0.0,1.0,1.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,7.0,11.0,18.0
ATOCHA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,3.0,0.0,3.0
AZURDUY,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,0.0,1.0,1.0
BAURES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,0.0,1.0,1.0
BERMEJO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,5.0,0.0,5.0
BUENA VISTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,0.0,1.0
CAMARGO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,6.0,4.0,10.0
CAMIRI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,8.0,4.0,12.0
CARANAVI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,3.0,4.0
CHALLAPATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,2.0,1.0,3.0
CHARAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,2.0,3.0
CLIZA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,0.0,1.0,1.0
COBIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,16.0,17.0,33.0
COCHABAMBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,42.0,16.0,58.0
COLCAPIRHUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,4.0,0.0,4.0
COMARAPA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,2.0,1.0,3.0
CONCEPCION,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,1.0,2.0
COTOCA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,0.0,3.0,3.0
EL ALTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,91.0,75.0,166.0
EL TORNO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,8.0,6.0,14.0
ENTRE RIOS TRJ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,3.0,0.0,3.0
GUAYARAMERIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,3.0,10.0,13.0
GUTIERREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,0.0,1.0
LA GUARDIA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,3.0,4.0,7.0
LA PAZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,49.0,44.0,93.0
LLALLAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,3.0,7.0,10.0
MACHARETI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,0.0,1.0
MAGDALENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,0.0,1.0
MONTEAGUDO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,3.0,4.0,7.0
MONTERO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,27.0,13.0,40.0
ORURO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,11.0,7.0,18.0
PAILON,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,6.0,5.0,11.0
PALOS BLANCOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,0.0,1.0
PORTACHUELO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,0.0,1.0,1.0
POTOSI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,30.0,10.0,40.0
PUERTO RICO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,2.0,1.0,3.0
PUERTO VILLARROEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,5.0,6.0,11.0
PUNATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,9.0,8.0,17.0
QUILLACOLLO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,18.0,5.0,23.0
RIBERALTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,11.0,7.0,18.0
ROBORE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,3.0,0.0,3.0
RURRENABAQUE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,4.0,1.0,5.0
SACABA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,7.0,5.0,12.0
SAN BORJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,3.0,0.0,3.0
SAN BUENA VENTURA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,2.0,0.0,2.0
SAN CARLOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,2.0,5.0,7.0
SAN IGNACIO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,13.0,8.0,21.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,0.0,1.0
SAN JULIAN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,0.0,1.0
SAN MATIAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,2.0,3.0,5.0
