municipality,group,variable,month,N° de Quimioprofilaxis en menores de 5 años,TOTAL
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,6,6
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,2,2
OMEREQUE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
PALOS BLANCOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
PORONGO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
PORVENIR,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,3,3
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,2,2
PUNATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,2,2
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,8,8
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,5,5
SAN IGNACIO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,5,5
SAN IGNACIO DE VELASCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,2,2
SAN JUAN DE YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
SAN JULIAN,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
SAN PEDRO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,22,22
SORATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,2,2
SUCRE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,2,2
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,6,6
TIQUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,4,4
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
TOMAVE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,2,2
TOTORA(CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,5,5
TUPIZA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
VACAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,1,1
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,4,4
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,7,7
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,3,3
YOCALLA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-07-01,3,3
ACHACACHI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,8,8
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,7,7
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,4,4
COBIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,9,9
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,20,20
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,3,3
COLOMI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
COLPA BELGICA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
COMARAPA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
COROICO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
CUATRO CAÑADAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,19,19
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
FERNANDEZ ALONSO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,4,4
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,2,2
GUAYARAMERIN,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,3,3
IRUPANA (VILLA DE LANZA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,2,2
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,4,4
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
LORETO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,3,3
PAILON,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,2,2
PALOS BLANCOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
POROMA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,6,6
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,8,8
PUNA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
PUNATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,3,3
RIBERALTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,3,3
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,7,7
SAN IGNACIO DE VELASCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,3,3
SAN JOSE DE CHIQUITOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
SAN LORENZO(TJA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,11,11
SORATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,2,2
TAPACARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,2,2
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,2,2
TIQUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,9,9
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,5,5
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,2,2
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,6,6
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,1,1
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,4,4
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-08-01,2,2
AIQUILE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
BATALLAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,3,3
CALAMARCA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,6,6
CARAPARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
CHARAGUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,4,4
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,19,19
COLCAPIRHUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
CORIPATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
COTAGAITA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,3,3
COTOCA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
CUATRO CAÑADAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,19,19
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,3,3
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,5,5
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
GUAYARAMERIN,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
ICLA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
INCAHUASI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,3,3
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,9,9
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,12,12
LLALLAGUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
MIZQUE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,7,7
PADCAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
PAILON,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,4,4
PUNATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
REYES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
RIBERALTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,3,3
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
SACACA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,3,3
SAN JUAN DE YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,18,18
TACOBAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
TARABUCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,1,1
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,4,4
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
TIQUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,6,6
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,2,2
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,4,4
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-09-01,13,13
ANCORAIMES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
BETANZOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
CABEZAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
CAMIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,5,5
CARAPARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,3,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
COBIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,12,12
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,19,19
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,3,3
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
FERNANDEZ ALONSO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
GUTIERREZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,3,3
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,12,12
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,7,7
MIZQUE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,8,8
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,3,3
PADCAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
POJO (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
POOPO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
PUERTO CARABUCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
PUNA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
RIBERALTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,8,8
SAN BENITO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,5,5
SAN JULIAN,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,32,32
SANTA ROSA DEL SARA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
SORATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,4,4
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
TOTORA(CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
TUPIZA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
VILLA MONTES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,3,3
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,9,9
VINTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,1,1
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,2,2
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-10-01,4,4
ACHACACHI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
BATALLAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
CABEZAS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
CALACOTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,8,8
CHARAGUA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
COBIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,5,5
COTAGAITA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
CURVA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,22,22
EL PUENTE(STC),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,3,3
GUANAY,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,3,3
JESUS DE MACHACA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,99,99
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,3,3
MAPIRI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,4,4
MIZQUE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,5,5
OMEREQUE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
PADCAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
PALOS BLANCOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
POCOATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
PUERTO ACOSTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,4,4
PUERTO QUIJARRO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,6,6
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
SAN CARLOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,3,3
SAN JULIAN,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,27,27
TARABUCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,13,13
TARIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,4,4
TINGUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,3,3
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,2,2
WARNES,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,1,1
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,4,4
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-11-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,2,2
BERMEJO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
CALACOTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
CARANAVI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
CARAPARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
CHIMORE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,3,3
COBIJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,2,2
COCHABAMBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,12,12
CORIPATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
EL ALTO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,12,12
EL TORNO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,3,3
ENTRE RIOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,4,4
LA ASUNTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
LA GUARDIA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,3,3
LA PAZ,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
MONTERO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,7,7
ORURO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,6,6
PADCAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
POCOATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,2,2
POCONA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
PORCO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,4,4
POTOSI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,3,3
PUERTO VILLARROEL,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,4,4
QUILLACOLLO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
RIBERALTA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,2,2
SACABA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,3,3
SACACA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
SAIPINA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
SAN BORJA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
SAN BUENA VENTURA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,2,2
SAN CARLOS,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,144,144
SAN JUAN DE YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,2,2
SAN PEDRO,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,29,29
SORATA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
SUCRE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,3,3
TEOPONTE,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,2,2
TINGUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
TIPUANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,3,3
TIQUIPAYA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,2,2
TIRAQUE (CBBA),tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,4,4
TOMINA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,1,1
TRINIDAD,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,6,6
UMALA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,399,399
VILLA TUNARI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,4,4
YACUIBA,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,3,3
YAPACANI,tuberculosis,n de quimioprofilaxis en menores de 5 anos,2009-12-01,9,9
