municipality,group,variable,month,N° de TB extrapulmonar nuevos,TOTAL
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,18,18
EL TORNO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
GUANAY,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
LA ASUNTA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,76,76
LLALLAGUA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
MAPIRI,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,3,3
MIZQUE,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
MONTEAGUDO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,2,2
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,4,4
POOPO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,4,4
PUCARANI,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,3,3
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,3,3
SABAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
SAN PEDRO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,24,24
SANTIVAÑES,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
SICAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
SIPE SIPE,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,2,2
TARATA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,3,3
TIPUANI,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,3,3
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,3,3
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,3,3
VILLAZON,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,2,2
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,4,4
YAPACANI,tuberculosis,n de tb extrapulmonar nuevos,2009-10-01,1,1
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,2,2
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,4,4
CHIMORE,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,7,7
COBIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,3,3
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,13,13
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,2,2
CORIPATA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
COTAGAITA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
COTOCA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,16,16
EL TORNO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,63,63
MINEROS,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
MONTEAGUDO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,3,3
OKINAWA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,3,3
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,8,8
POCOATA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
PORONGO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,3,3
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
RIBERALTA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
SAN IGNACIO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
SAN PEDRO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,28,28
SIPE SIPE,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,3,3
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,4,4
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
VILLA RIVERO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2009-11-01,2,2
ACHACACHI,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
CAMARGO,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,4,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,9,9
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,2,2
COLOMI,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,19,19
EL TORNO,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,2,2
ENTRE RIOS,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,2,2
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,44,44
LAJA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
MAPIRI,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
MECAPACA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
MONTERO,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,3,3
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,9,9
PATACAMAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,3,3
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,5,5
QUIME,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
SAN CARLOS,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
SAN LORENZO(TJA),tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,20,20
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,2,2
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,4,4
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
TOMINA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
VILLA TUNARI,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,2,2
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,4,4
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2009-12-01,2,2
