municipality,group,variable,month,N° de TBP BAAR (-) nuevos,TOTAL
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,6,6
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,3,3
TARIJA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
TIQUIPAYA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,2,2
TOTORA(ORR),tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
TUPIZA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,2,2
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,2,2
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-10-01,1,1
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,4,4
CARAPARI,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,2,2
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,9,9
COBIJA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,3,3
CONCEPCION,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,7,7
COROICO,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
CUCHUMUELA (V. G. VILLARROEL),tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
CULPINA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,4,4
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
EL VILLAR,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,12,12
ENTRE RIOS,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,2,2
GENERAL SAAVEDRA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
LA GUARDIA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,10,10
MONTERO,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,2,2
OKINAWA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,13,13
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
PALOS BLANCOS,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
PUNATA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,3,3
SACABA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,6,6
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2009-11-01,20,20
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,4,4
SAN LORENZO(PND),tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,18,18
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,6,6
TIPUANI,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
TIQUIPAYA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
TOMINA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,3,3
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,3,3
WARNES,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,1,1
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2009-11-01,2,2
CABEZAS,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
CAMIRI,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,5,5
CARANAVI,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,9,9
CARAPARI,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
CHARAGUA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,3,3
COCHABAMBA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,2,2
CORIPATA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
EL ALTO,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,6,6
EL TORNO,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
EL VILLAR,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
JESUS DE MACHACA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
LA PAZ,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,25,25
MONTEAGUDO,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
ORURO,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,13,13
PORCO,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,6,6
PUNATA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,2,2
QUILLACOLLO,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
SAN BENITO,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,3,3
SAN BORJA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,2,2
SAN CARLOS,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
SAN JAVIER(STC),tuberculosis,n de tbp baar (-) nuevos,2009-12-01,6,6
SAN JULIAN,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
SAN PEDRO,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,22,22
SIPE SIPE,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
SUCRE,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,3,3
TIPUANI,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,2,2
TIQUIPAYA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
TIRAQUE (CBBA),tuberculosis,n de tbp baar (-) nuevos,2009-12-01,2,2
TOMINA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,2,2
TOTORA(ORR),tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
TRINIDAD,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,5,5
VIACHA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
WARNES,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,2,2
YACUIBA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,2,2
YAPACANI,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
YOTALA,tuberculosis,n de tbp baar (-) nuevos,2009-12-01,1,1
