,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,3,2,0,5
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,3,0,0,6
TAPACARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,20,20
TARATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,3,0,0,3
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,5,1,2,11
TIPUANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,1,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,1,1,1,4
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,28,20,12,26,86
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,1,1,3
TURCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,2,0,3
UNCIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,1,4,2,9
URUBICHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,3,3,4,11
UYUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,1,0,2
VACAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,3,3,1,0,7
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,3,0,0,3
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,3,0,3
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,5,11,0,1,17
VINTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,4,4,1,8,17
WARNES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,9,12,0,0,21
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,2,3,1,1,7
YANACACHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,0,1,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,4,0,0,5
YOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-02-01,1,0,0,0,1
ACACIO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,1,0,2
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,2,3
ALALAY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,1,2
APOLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,6,4,1,2,13
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,3,4,7
ARQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,49,33,0,0,82
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
AYATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,6,9,2,2,19
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,2,1,3
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,14,10,1,1,26
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,7,3,5,5,20
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,1,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,7,8,0,0,15
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,1,2,0,4
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,1,2
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,6,6,4,1,17
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,3,1,2,2,8
CHAQUI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,1,0,0,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,4,0,0,1,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,1,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,1,3,6,12
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,75,83,1,1,160
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,3,1,5
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,2,3
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,0,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,0,1
CORQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,4,5,0,0,9
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,9,8,7,7,31
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,59,73,31,35,198
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,1,2
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,2,2,5
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,16,18,34
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,5,3,0,0,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,5,2,2,0,9
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,4,1,5
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,1,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,3,0,1,5
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,1,1,1,4
HUACARETA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,2,3
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,2,0,3
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,0,0,0,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,7,10,1,1,19
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,67,50,6,7,130
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,1,1,3
LLICA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,1,11,2,15
LURIBAY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,0,1
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,23,25,0,0,48
MIZQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,3,4
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,23,34,16,8,81
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
OCURI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,32,32,3,0,67
PADCAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,4,1,0,0,5
PAILON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,13,17,15,14,59
PALCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,4,0,1,1,6
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,1,0,2,5
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,1,0,2
POOPO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,2,3
PORCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,4,0,0,6
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,3,1,0,0,4
PORVENIR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,1,0,0,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,17,22,5,2,46
PRESTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,2,1,3
PUCARANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,3,1,1,0,5
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,10,10,4,6,30
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,5,4,2,4,15
RAVELO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,2,2,3,7
SABAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,6,6,1,15
SACACA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,1,2,0,5
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,3,1,0,5
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,3,6,34,34,77
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,1,0,0,3
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,11,0,0,0,11
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,0,8,5,15
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,4,0,0,6
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,10,20,31
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,39,33,11,12,95
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,11,8,8,8,35
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,15,20,5,5,45
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,1,2,0,5
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,3,4,1,0,8
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,13,8,1,4,26
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,51,51,103
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,3,4,8,16
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,162,177,63,56,458
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,4,6,4,4,18
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,3,4,0,2,9
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,7,2,6,2,17
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,4,3,5,0,12
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,2,1,0,4
SORACACHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,2,2,5
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,15,19,7,3,44
TACOBAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
TAPACARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,0,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,5,5,0,0,10
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,5,7,5,2,19
TIPUANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,2,0,2,4
TOLATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,1,0,2
TOLEDO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,0,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,0,2,2,4
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,30,35,11,4,80
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,2,1,0,0,3
UNCIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,19,16,11,14,60
URUBICHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,1,6,5,13
UYUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,4,0,0,5
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,4,9,1,3,17
VILA VILA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,2,1,4
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,0,2,3
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,6,6,2,8,22
VILLAZON,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,1,0,1,3
VINTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,1,1,5,7
VITICHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,1,1,0,3
WARNES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,17,17,0,2,36
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,1,2,0,1,4
YAMPARAEZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,0,2,0,0,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,11,4,6,5,26
YOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-03-01,4,11,4,5,24
ACACIO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,0,1,1,3
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,0,1,2
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,0,1,1
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
APOLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,3,8,1,2,14
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,2,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,41,40,3,3,87
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,10,4,11,23,48
AZURDUY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,2,0,0,0,2
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,9,5,1,1,16
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,5,6,1,4,16
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,1,2
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,3,2,0,0,5
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,4,2,6
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,3,3,15,11,32
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,10,7,1,0,18
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,3,0,0,4
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,2,0,1,2,5
CHAQUI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,2,0,1,0,3
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,0,0,1
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,3,0,0,4
CHUMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,0,0,1,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,0,5,5,11
COCAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,0,1,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,39,38,43,33,153
COIPASA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,0,2,2
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,2,1,0,4
COLLANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,3,1,1,3,8
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,2,1,0,0,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,2,1,0,0,3
COPACABANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,0,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,2,0,1,4
CORQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,5,7,13
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,2,1,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,2,5,7,14
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,3,2,1,3,9
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,39,56,23,32,150
EL CHORO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,3,3,6
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,1,1,3
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,3,0,1,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,3,0,0,4
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,0,0,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,2,0,0,0,2
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,2,0,1,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,0,5,5,11
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,0,1,2,4
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,2,0,0,3
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,1,0,2,1,4
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,2,1,3
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,3,3,1,7
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,0,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-04-01,0,1,0,0,1
