,group,variable,month,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
TARATA,estado nutricional,total talla normal,2014-02-01,114,87,76,50,47,49,237,186,423
TARIJA,estado nutricional,total talla normal,2014-02-01,1590,1442,1134,1118,1038,921,3762,3481,7243
TARVITA,estado nutricional,total talla normal,2014-02-01,103,102,91,76,134,132,328,310,638
TEOPONTE,estado nutricional,total talla normal,2014-02-01,76,71,84,99,113,82,273,252,525
TIAWANACU,estado nutricional,total talla normal,2014-02-01,94,73,55,65,56,67,205,205,410
TINGUIPAYA,estado nutricional,total talla normal,2014-02-01,128,119,78,84,70,52,276,255,531
TIPUANI,estado nutricional,total talla normal,2014-02-01,82,79,77,63,81,49,240,191,431
TIQUIPAYA,estado nutricional,total talla normal,2014-02-01,505,480,422,348,370,370,1297,1198,2495
TIRAQUE (CBBA),estado nutricional,total talla normal,2014-02-01,133,173,103,124,92,84,328,381,709
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla normal,2014-02-01,7,3,8,5,5,2,20,10,30
TOCO,estado nutricional,total talla normal,2014-02-01,53,42,39,30,25,43,117,115,232
TODOS SANTOS,estado nutricional,total talla normal,2014-02-01,0,0,0,3,1,0,1,3,4
TOLATA,estado nutricional,total talla normal,2014-02-01,21,27,18,14,33,35,72,76,148
TOLEDO,estado nutricional,total talla normal,2014-02-01,47,14,31,31,28,28,106,73,179
TOMAVE,estado nutricional,total talla normal,2014-02-01,74,78,68,71,36,33,178,182,360
TORO TORO,estado nutricional,total talla normal,2014-02-01,93,68,63,59,52,49,208,176,384
TOTORA(CBBA),estado nutricional,total talla normal,2014-02-01,134,136,125,123,75,74,334,333,667
TOTORA(ORR),estado nutricional,total talla normal,2014-02-01,32,24,22,22,29,31,83,77,160
TRIGAL,estado nutricional,total talla normal,2014-02-01,15,10,9,8,14,16,38,34,72
TRINIDAD,estado nutricional,total talla normal,2014-02-01,925,841,500,508,411,407,1836,1756,3592
TUPIZA,estado nutricional,total talla normal,2014-02-01,277,302,215,205,203,182,695,689,1384
TURCO,estado nutricional,total talla normal,2014-02-01,36,29,20,47,19,20,75,96,171
UMALA,estado nutricional,total talla normal,2014-02-01,44,61,47,46,40,50,131,157,288
UNCIA,estado nutricional,total talla normal,2014-02-01,137,121,140,127,57,66,334,314,648
URIONDO (A. CONCEPCION),estado nutricional,total talla normal,2014-02-01,155,152,111,105,127,109,393,366,759
URUBICHA,estado nutricional,total talla normal,2014-02-01,69,59,46,51,104,92,219,202,421
UYUNI,estado nutricional,total talla normal,2014-02-01,186,188,129,131,43,54,358,373,731
VACAS,estado nutricional,total talla normal,2014-02-01,54,69,50,47,62,68,166,184,350
VALLEGRANDE,estado nutricional,total talla normal,2014-02-01,120,101,88,110,94,90,302,301,603
VIACHA,estado nutricional,total talla normal,2014-02-01,453,422,270,238,249,233,972,893,1865
VILA VILA,estado nutricional,total talla normal,2014-02-01,33,21,26,37,26,41,85,99,184
VILLA CHARCAS,estado nutricional,total talla normal,2014-02-01,108,122,91,86,125,139,324,347,671
VILLA MONTES,estado nutricional,total talla normal,2014-02-01,348,335,209,224,235,245,792,804,1596
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla normal,2014-02-01,29,23,27,23,30,39,86,85,171
VILLA RIVERO,estado nutricional,total talla normal,2014-02-01,96,92,71,77,37,46,204,215,419
VILLA TUNARI,estado nutricional,total talla normal,2014-02-01,831,734,618,569,633,608,2082,1911,3993
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla normal,2014-02-01,81,58,79,53,99,82,259,193,452
VILLAZON,estado nutricional,total talla normal,2014-02-01,22,28,6,3,2,5,30,36,66
VINTO,estado nutricional,total talla normal,2014-02-01,295,234,191,207,147,112,633,553,1186
VITICHI,estado nutricional,total talla normal,2014-02-01,68,55,55,66,75,57,198,178,376
WALDO BALLIVIAN,estado nutricional,total talla normal,2014-02-01,17,10,10,13,16,6,43,29,72
WARNES,estado nutricional,total talla normal,2014-02-01,671,653,468,415,458,467,1597,1535,3132
YACO,estado nutricional,total talla normal,2014-02-01,35,44,43,45,30,36,108,125,233
YACUIBA,estado nutricional,total talla normal,2014-02-01,780,678,657,608,485,466,1922,1752,3674
YAMPARAEZ,estado nutricional,total talla normal,2014-02-01,55,49,43,39,73,71,171,159,330
YANACACHI,estado nutricional,total talla normal,2014-02-01,49,52,39,31,55,52,143,135,278
YAPACANI,estado nutricional,total talla normal,2014-02-01,472,445,339,352,245,104,1056,901,1957
YOCALLA,estado nutricional,total talla normal,2014-02-01,74,72,66,54,54,50,194,176,370
YOTALA,estado nutricional,total talla normal,2014-02-01,48,43,49,68,130,704,227,815,1042
YUNCHARA,estado nutricional,total talla normal,2014-02-01,34,20,35,42,65,75,134,137,271
YUNGUYO DE LITORAL,estado nutricional,total talla normal,2014-02-01,1,0,0,5,2,0,3,5,8
ZUDAÑEZ,estado nutricional,total talla normal,2014-02-01,48,46,46,42,78,82,172,170,342
ACACIO,estado nutricional,total talla normal,2014-03-01,43,41,31,37,43,50,117,128,245
ACHACACHI,estado nutricional,total talla normal,2014-03-01,178,187,165,173,116,122,459,482,941
ACHOCALLA,estado nutricional,total talla normal,2014-03-01,102,84,83,92,75,85,260,261,521
AIQUILE,estado nutricional,total talla normal,2014-03-01,269,257,237,203,238,253,744,713,1457
ALALAY,estado nutricional,total talla normal,2014-03-01,21,22,16,15,11,13,48,50,98
ALTO BENI,estado nutricional,total talla normal,2014-03-01,112,85,74,55,75,79,261,219,480
ANCORAIMES,estado nutricional,total talla normal,2014-03-01,100,102,83,84,84,96,267,282,549
ANDAMARCA,estado nutricional,total talla normal,2014-03-01,29,35,14,31,47,64,90,130,220
ANTEQUERA,estado nutricional,total talla normal,2014-03-01,26,29,26,30,47,33,99,92,191
ANZALDO,estado nutricional,total talla normal,2014-03-01,7,9,6,5,6,7,19,21,40
APOLO,estado nutricional,total talla normal,2014-03-01,186,148,111,128,143,109,440,385,825
ARAMPAMPA,estado nutricional,total talla normal,2014-03-01,31,19,38,42,50,34,119,95,214
ARANI,estado nutricional,total talla normal,2014-03-01,99,98,100,67,56,64,255,229,484
ARBIETO,estado nutricional,total talla normal,2014-03-01,170,147,122,135,141,138,433,420,853
ARQUE,estado nutricional,total talla normal,2014-03-01,109,102,93,95,79,69,281,266,547
ASCENCION DE GUARAYOS,estado nutricional,total talla normal,2014-03-01,345,321,142,146,151,160,638,627,1265
ATOCHA,estado nutricional,total talla normal,2014-03-01,118,127,88,83,105,106,311,316,627
AUCAPATA,estado nutricional,total talla normal,2014-03-01,46,38,28,37,21,22,95,97,192
AYATA,estado nutricional,total talla normal,2014-03-01,52,51,31,34,31,40,114,125,239
AYO AYO,estado nutricional,total talla normal,2014-03-01,71,69,47,65,43,56,161,190,351
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla normal,2014-03-01,235,245,183,160,179,168,597,573,1170
AZURDUY,estado nutricional,total talla normal,2014-03-01,87,88,76,56,124,155,287,299,586
BATALLAS,estado nutricional,total talla normal,2014-03-01,139,129,87,106,101,97,327,332,659
BAURES,estado nutricional,total talla normal,2014-03-01,47,41,26,28,41,36,114,105,219
BELEN DE ANDAMARCA,estado nutricional,total talla normal,2014-03-01,14,13,12,13,18,13,44,39,83
BELEN DE URMIRI,estado nutricional,total talla normal,2014-03-01,6,9,11,16,3,7,20,32,52
BELLA FLOR,estado nutricional,total talla normal,2014-03-01,25,26,21,23,32,46,78,95,173
BERMEJO,estado nutricional,total talla normal,2014-03-01,360,268,273,308,248,195,881,771,1652
BETANZOS,estado nutricional,total talla normal,2014-03-01,241,259,203,209,233,241,677,709,1386
BOLIVAR,estado nutricional,total talla normal,2014-03-01,26,48,28,25,56,27,110,100,210
BOLPEBRA,estado nutricional,total talla normal,2014-03-01,11,15,16,14,13,14,40,43,83
BOYUIBE,estado nutricional,total talla normal,2014-03-01,27,23,16,23,33,25,76,71,147
BUENA VISTA,estado nutricional,total talla normal,2014-03-01,103,125,113,111,134,116,350,352,702
CABEZAS,estado nutricional,total talla normal,2014-03-01,180,158,116,109,157,147,453,414,867
CAIROMA,estado nutricional,total talla normal,2014-03-01,66,73,47,56,56,71,169,200,369
"CAIZA ""D""",estado nutricional,total talla normal,2014-03-01,75,70,56,62,74,67,205,199,404
CAJUATA,estado nutricional,total talla normal,2014-03-01,109,101,69,70,81,63,259,234,493
CALACOTO,estado nutricional,total talla normal,2014-03-01,19,40,33,32,34,26,86,98,184
CALAMARCA,estado nutricional,total talla normal,2014-03-01,82,80,76,71,60,71,218,222,440
CAMARGO,estado nutricional,total talla normal,2014-03-01,118,133,93,91,151,144,362,368,730
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla normal,2014-03-01,26,22,16,21,45,30,87,73,160
CAMIRI,estado nutricional,total talla normal,2014-03-01,332,313,219,211,277,256,828,780,1608
CAPINOTA,estado nutricional,total talla normal,2014-03-01,51,45,31,19,20,18,102,82,184
CAQUIAVIRI,estado nutricional,total talla normal,2014-03-01,59,50,51,49,59,39,169,138,307
CARACOLLO,estado nutricional,total talla normal,2014-03-01,174,197,126,126,146,141,446,464,910
CARANAVI,estado nutricional,total talla normal,2014-03-01,322,320,262,265,279,268,863,853,1716
CARANGAS,estado nutricional,total talla normal,2014-03-01,2,2,1,4,4,0,7,6,13
CARAPARI,estado nutricional,total talla normal,2014-03-01,173,156,106,116,155,134,434,406,840
CARIPUYO,estado nutricional,total talla normal,2014-03-01,75,67,37,46,55,55,167,168,335
CARMEN RIVERO TORREZ,estado nutricional,total talla normal,2014-03-01,36,42,28,35,59,58,123,135,258
CATACORA,estado nutricional,total talla normal,2014-03-01,4,9,3,0,8,4,15,13,28
CHACARILLA,estado nutricional,total talla normal,2014-03-01,9,7,12,5,7,11,28,23,51
CHALLAPATA,estado nutricional,total talla normal,2014-03-01,341,328,209,181,189,154,739,663,1402
CHAQUI,estado nutricional,total talla normal,2014-03-01,65,69,45,54,33,31,143,154,297
CHARAGUA,estado nutricional,total talla normal,2014-03-01,248,269,167,169,219,197,634,635,1269
CHARAÑA,estado nutricional,total talla normal,2014-03-01,12,12,5,11,14,9,31,32,63
CHAYANTA,estado nutricional,total talla normal,2014-03-01,66,117,69,82,45,44,180,243,423
CHIMORE,estado nutricional,total talla normal,2014-03-01,127,106,98,60,118,93,343,259,602
CHIPAYA,estado nutricional,total talla normal,2014-03-01,20,15,13,14,9,8,42,37,79
CHOQUE COTA,estado nutricional,total talla normal,2014-03-01,6,6,12,7,7,6,25,19,44
CHUA COCANI,estado nutricional,total talla normal,2014-03-01,25,21,10,8,19,19,54,48,102
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla normal,2014-03-01,25,13,23,30,29,5,77,48,125
CHUMA,estado nutricional,total talla normal,2014-03-01,64,72,56,44,47,51,167,167,334
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla normal,2014-03-01,54,51,47,23,29,25,130,99,229
CKOCHAS,estado nutricional,total talla normal,2014-03-01,115,143,107,107,114,103,336,353,689
CLIZA,estado nutricional,total talla normal,2014-03-01,234,196,121,87,99,92,454,375,829
COBIJA,estado nutricional,total talla normal,2014-03-01,587,546,343,321,283,276,1213,1143,2356
COCAPATA,estado nutricional,total talla normal,2014-03-01,148,130,126,119,123,81,397,330,727
COCHABAMBA,estado nutricional,total talla normal,2014-03-01,3649,3476,2474,2201,2062,1946,8185,7623,15808
COIPASA,estado nutricional,total talla normal,2014-03-01,8,9,8,5,5,7,21,21,42
COLCAPIRHUA,estado nutricional,total talla normal,2014-03-01,402,287,189,168,211,197,802,652,1454
"COLCHA ""K""",estado nutricional,total talla normal,2014-03-01,103,145,103,111,85,109,291,365,656
COLLANA,estado nutricional,total talla normal,2014-03-01,21,29,19,8,19,24,59,61,120
COLOMI,estado nutricional,total talla normal,2014-03-01,209,187,140,139,147,141,496,467,963
COLPA BELGICA,estado nutricional,total talla normal,2014-03-01,7,5,1,1,0,0,8,6,14
COLQUECHACA,estado nutricional,total talla normal,2014-03-01,257,245,185,190,112,94,554,529,1083
COLQUENCHA,estado nutricional,total talla normal,2014-03-01,54,65,43,53,47,56,144,174,318
COLQUIRI,estado nutricional,total talla normal,2014-03-01,121,130,73,74,57,57,251,261,512
COMANCHE,estado nutricional,total talla normal,2014-03-01,24,17,18,13,13,11,55,41,96
COMARAPA,estado nutricional,total talla normal,2014-03-01,134,152,125,106,133,124,392,382,774
COMBAYA,estado nutricional,total talla normal,2014-03-01,22,20,12,10,18,17,52,47,99
CONCEPCION,estado nutricional,total talla normal,2014-03-01,173,180,65,86,133,140,371,406,777
COPACABANA,estado nutricional,total talla normal,2014-03-01,62,59,55,49,69,45,186,153,339
CORIPATA,estado nutricional,total talla normal,2014-03-01,29,31,22,16,21,29,72,76,148
CORO CORO,estado nutricional,total talla normal,2014-03-01,58,52,31,37,32,41,121,130,251
COROICO,estado nutricional,total talla normal,2014-03-01,51,42,35,28,35,32,121,102,223
CORQUE,estado nutricional,total talla normal,2014-03-01,61,45,52,48,70,56,183,149,332
COTAGAITA,estado nutricional,total talla normal,2014-03-01,171,140,108,135,140,147,419,422,841
COTOCA,estado nutricional,total talla normal,2014-03-01,444,431,250,225,231,178,925,834,1759
CRUZ DE MACHACAMARCA,estado nutricional,total talla normal,2014-03-01,1,2,0,3,0,0,1,5,6
CUATRO CAÑADAS,estado nutricional,total talla normal,2014-03-01,176,198,142,133,165,160,483,491,974
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla normal,2014-03-01,11,14,8,6,10,9,29,29,58
CUEVO,estado nutricional,total talla normal,2014-03-01,24,29,31,19,47,40,102,88,190
CULPINA,estado nutricional,total talla normal,2014-03-01,144,144,117,121,167,189,428,454,882
CURAHUARA DE CARANGAS,estado nutricional,total talla normal,2014-03-01,47,41,31,43,42,24,120,108,228
CURVA,estado nutricional,total talla normal,2014-03-01,27,23,15,29,15,26,57,78,135
DESAGUADERO,estado nutricional,total talla normal,2014-03-01,31,43,27,30,26,23,84,96,180
EL ALTO,estado nutricional,total talla normal,2014-03-01,5147,4777,3629,3524,4179,3856,12955,12157,25112
EL CHORO,estado nutricional,total talla normal,2014-03-01,60,51,52,39,70,68,182,158,340
EL PUENTE(STC),estado nutricional,total talla normal,2014-03-01,110,93,84,73,80,80,274,246,520
EL PUENTE(TJA),estado nutricional,total talla normal,2014-03-01,89,86,83,67,93,78,265,231,496
EL TORNO,estado nutricional,total talla normal,2014-03-01,375,346,272,273,276,241,923,860,1783
ENTRE RIOS TRJ,estado nutricional,total talla normal,2014-03-01,177,190,180,185,169,157,526,532,1058
ENTRE RIOS CBBA,estado nutricional,total talla normal,2014-03-01,409,384,300,232,263,257,972,873,1845
ESCARA,estado nutricional,total talla normal,2014-03-01,1,6,1,2,7,5,9,13,22
ESCOMA,estado nutricional,total talla normal,2014-03-01,32,30,23,25,48,45,103,100,203
ESMERALDA,estado nutricional,total talla normal,2014-03-01,3,0,4,5,0,4,7,9,16
EUCALIPTUS,estado nutricional,total talla normal,2014-03-01,38,48,67,52,38,51,143,151,294
EUREKA (SANTOS MERCADO),estado nutricional,total talla normal,2014-03-01,14,9,14,14,21,21,49,44,93
EXALTACION,estado nutricional,total talla normal,2014-03-01,17,23,8,8,8,13,33,44,77
FERNANDEZ ALONSO,estado nutricional,total talla normal,2014-03-01,124,120,95,98,164,149,383,367,750
FILADELFIA,estado nutricional,total talla normal,2014-03-01,63,60,55,48,61,49,179,157,336
GENERAL SAAVEDRA,estado nutricional,total talla normal,2014-03-01,162,106,106,99,100,114,368,319,687
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla normal,2014-03-01,78,62,52,61,33,33,163,156,319
GUANAY,estado nutricional,total talla normal,2014-03-01,116,131,112,120,132,139,360,390,750
GUAQUI,estado nutricional,total talla normal,2014-03-01,37,33,37,41,52,60,126,134,260
GUAYARAMERIN,estado nutricional,total talla normal,2014-03-01,555,577,371,312,296,282,1222,1171,2393
GUTIERREZ,estado nutricional,total talla normal,2014-03-01,125,139,109,141,172,172,406,452,858
HUACARETA,estado nutricional,total talla normal,2014-03-01,97,76,66,82,115,102,278,260,538
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla normal,2014-03-01,23,24,20,26,25,25,68,75,143
HUACHACALLA,estado nutricional,total talla normal,2014-03-01,7,16,8,12,15,12,30,40,70
HUANUNI,estado nutricional,total talla normal,2014-03-01,186,225,135,134,142,144,463,503,966
HUARACAJE,estado nutricional,total talla normal,2014-03-01,16,927,18,29,28,26,62,982,1044
HUARINA,estado nutricional,total talla normal,2014-03-01,26,18,17,38,16,27,59,83,142
HUATAJATA,estado nutricional,total talla normal,2014-03-01,26,15,11,15,23,23,60,53,113
HUAYLLAMARCA,estado nutricional,total talla normal,2014-03-01,37,40,32,31,28,35,97,106,203
HUMANATA,estado nutricional,total talla normal,2014-03-01,16,18,9,15,27,24,52,57,109
ICHOCA,estado nutricional,total talla normal,2014-03-01,20,21,14,17,30,13,64,51,115
ICLA,estado nutricional,total talla normal,2014-03-01,50,49,53,44,92,111,195,204,399
INGAVI (HUMAITA),estado nutricional,total talla normal,2014-03-01,23,19,16,24,22,17,61,60,121
INQUISIVI,estado nutricional,total talla normal,2014-03-01,74,85,80,65,45,57,199,207,406
IRUPANA (VILLA DE LANZA),estado nutricional,total talla normal,2014-03-01,23,14,17,10,13,6,53,30,83
IXIAMAS,estado nutricional,total talla normal,2014-03-01,88,83,61,63,60,58,209,204,413
JESUS DE MACHACA,estado nutricional,total talla normal,2014-03-01,95,90,46,76,57,70,198,236,434
LA ASUNTA,estado nutricional,total talla normal,2014-03-01,105,102,102,90,133,108,340,300,640
LA GUARDIA,estado nutricional,total talla normal,2014-03-01,686,650,329,292,239,225,1254,1167,2421
LA PAZ,estado nutricional,total talla normal,2014-03-01,4702,4396,3099,2811,3624,3470,11425,10677,22102
LA RIVERA,estado nutricional,total talla normal,2014-03-01,5,2,7,2,4,5,16,9,25
LAGUNILLAS,estado nutricional,total talla normal,2014-03-01,59,47,38,47,102,103,199,197,396
LAJA,estado nutricional,total talla normal,2014-03-01,103,102,84,100,85,76,272,278,550
LAS CARRERAS,estado nutricional,total talla normal,2014-03-01,27,28,28,18,41,48,96,94,190
LICOMA PAMPA,estado nutricional,total talla normal,2014-03-01,19,19,21,21,20,15,60,55,115
LLALLAGUA,estado nutricional,total talla normal,2014-03-01,346,364,266,244,260,266,872,874,1746
LLICA,estado nutricional,total talla normal,2014-03-01,26,34,25,20,14,17,65,71,136
LORETO,estado nutricional,total talla normal,2014-03-01,30,30,27,22,40,65,97,117,214
LURIBAY,estado nutricional,total talla normal,2014-03-01,48,55,41,41,41,38,130,134,264
MACHACAMARCA,estado nutricional,total talla normal,2014-03-01,27,34,39,24,28,33,94,91,185
MACHARETI,estado nutricional,total talla normal,2014-03-01,65,77,56,56,98,96,219,229,448
MAGDALENA,estado nutricional,total talla normal,2014-03-01,128,112,83,79,78,96,289,287,576
MAIRANA,estado nutricional,total talla normal,2014-03-01,1,2,1,0,1,2,3,4,7
MALLA,estado nutricional,total talla normal,2014-03-01,17,17,12,10,29,14,58,41,99
MAPIRI,estado nutricional,total talla normal,2014-03-01,117,114,86,93,97,84,300,291,591
MECAPACA,estado nutricional,total talla normal,2014-03-01,104,80,82,73,67,68,253,221,474
MINEROS,estado nutricional,total talla normal,2014-03-01,210,213,143,143,126,117,479,473,952
MIZQUE,estado nutricional,total talla normal,2014-03-01,284,275,240,245,195,191,719,711,1430
MOCOMOCO,estado nutricional,total talla normal,2014-03-01,80,78,82,88,78,81,240,247,487
MOJINETE,estado nutricional,total talla normal,2014-03-01,4,4,5,7,6,5,15,16,31
MOJOCOYA,estado nutricional,total talla normal,2014-03-01,55,43,42,44,77,108,174,195,369
MONTEAGUDO,estado nutricional,total talla normal,2014-03-01,236,192,209,195,253,209,698,596,1294
MONTERO,estado nutricional,total talla normal,2014-03-01,1331,1160,859,825,764,751,2954,2736,5690
MORO MORO,estado nutricional,total talla normal,2014-03-01,25,12,22,19,13,19,60,50,110
MOROCHATA,estado nutricional,total talla normal,2014-03-01,88,77,48,64,98,98,234,239,473
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla normal,2014-03-01,28,27,21,18,19,14,68,59,127
NAZACARA DE PACAJES,estado nutricional,total talla normal,2014-03-01,5,4,5,1,10,6,20,11,31
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla normal,2014-03-01,25,6,19,22,57,40,101,68,169
OCURI,estado nutricional,total talla normal,2014-03-01,111,131,84,82,76,66,271,279,550
OKINAWA,estado nutricional,total talla normal,2014-03-01,133,124,98,97,111,116,342,337,679
OMEREQUE,estado nutricional,total talla normal,2014-03-01,86,65,81,50,75,62,242,177,419
ORURO,estado nutricional,total talla normal,2014-03-01,2214,2160,1582,1554,966,972,4762,4686,9448
PADCAYA,estado nutricional,total talla normal,2014-03-01,154,149,148,128,150,151,452,428,880
PAILON,estado nutricional,total talla normal,2014-03-01,280,271,198,151,222,186,700,608,1308
PALCA,estado nutricional,total talla normal,2014-03-01,149,146,106,91,71,78,326,315,641
PALOS BLANCOS,estado nutricional,total talla normal,2014-03-01,293,269,237,208,270,220,800,697,1497
PAMPA AULLAGAS,estado nutricional,total talla normal,2014-03-01,23,23,22,13,20,18,65,54,119
PAMPA GRANDE,estado nutricional,total talla normal,2014-03-01,8,13,13,13,13,9,34,35,69
PAPEL PAMPA,estado nutricional,total talla normal,2014-03-01,38,38,47,51,83,46,168,135,303
PASORAPA,estado nutricional,total talla normal,2014-03-01,25,14,21,13,22,38,68,65,133
PATACAMAYA,estado nutricional,total talla normal,2014-03-01,166,136,108,119,63,94,337,349,686
PAZÑA,estado nutricional,total talla normal,2014-03-01,66,58,31,42,63,61,160,161,321
PELECHUCO,estado nutricional,total talla normal,2014-03-01,68,49,48,52,56,51,172,152,324
POCOATA,estado nutricional,total talla normal,2014-03-01,177,183,126,147,116,118,419,448,867
POCONA,estado nutricional,total talla normal,2014-03-01,110,139,94,97,104,86,308,322,630
POJO (CBBA),estado nutricional,total talla normal,2014-03-01,132,127,110,87,115,88,357,302,659
POOPO,estado nutricional,total talla normal,2014-03-01,49,45,42,58,31,33,122,136,258
PORCO,estado nutricional,total talla normal,2014-03-01,98,72,53,42,34,46,185,160,345
POROMA,estado nutricional,total talla normal,2014-03-01,106,110,89,113,150,143,345,366,711
PORONGO,estado nutricional,total talla normal,2014-03-01,62,75,53,45,82,73,197,193,390
PORTACHUELO,estado nutricional,total talla normal,2014-03-01,118,92,49,64,40,44,207,200,407
PORVENIR,estado nutricional,total talla normal,2014-03-01,60,65,36,41,57,73,153,179,332
POSTRER VALLE,estado nutricional,total talla normal,2014-03-01,11,6,13,10,15,13,39,29,68
POTOSI,estado nutricional,total talla normal,2014-03-01,1313,1380,784,785,477,488,2574,2653,5227
PRESTO,estado nutricional,total talla normal,2014-03-01,75,66,50,50,71,70,196,186,382
PUCARA,estado nutricional,total talla normal,2014-03-01,13,9,21,3,19,27,53,39,92
PUCARANI,estado nutricional,total talla normal,2014-03-01,190,167,177,187,110,147,477,501,978
PUERTO ACOSTA,estado nutricional,total talla normal,2014-03-01,56,50,51,50,48,41,155,141,296
PUERTO CARABUCO,estado nutricional,total talla normal,2014-03-01,81,79,88,90,88,79,257,248,505
PUERTO GONZALO MORENO,estado nutricional,total talla normal,2014-03-01,101,75,52,75,76,79,229,229,458
PUERTO PEREZ,estado nutricional,total talla normal,2014-03-01,37,34,37,43,57,42,131,119,250
PUERTO QUIJARRO,estado nutricional,total talla normal,2014-03-01,167,152,111,118,78,75,356,345,701
PUERTO RICO,estado nutricional,total talla normal,2014-03-01,92,95,68,67,56,106,216,268,484
PUERTO SILES,estado nutricional,total talla normal,2014-03-01,6,5,3,2,1,3,10,10,20
PUERTO SUAREZ,estado nutricional,total talla normal,2014-03-01,131,127,77,82,85,71,293,280,573
PUERTO VILLARROEL,estado nutricional,total talla normal,2014-03-01,691,563,430,382,401,356,1522,1301,2823
PUNA,estado nutricional,total talla normal,2014-03-01,175,153,132,109,127,124,434,386,820
PUNATA,estado nutricional,total talla normal,2014-03-01,231,257,153,136,131,122,515,515,1030
QUIABAYA,estado nutricional,total talla normal,2014-03-01,23,27,6,17,18,17,47,61,108
QUILLACOLLO,estado nutricional,total talla normal,2014-03-01,1544,1509,1154,1102,1478,1281,4176,3892,8068
QUIME,estado nutricional,total talla normal,2014-03-01,59,77,60,76,74,63,193,216,409
QUIRUSILLAS,estado nutricional,total talla normal,2014-03-01,3,1,0,0,2,2,5,3,8
RAVELO,estado nutricional,total talla normal,2014-03-01,108,98,80,72,119,141,307,311,618
REYES,estado nutricional,total talla normal,2014-03-01,101,98,87,82,67,82,255,262,517
RIBERALTA,estado nutricional,total talla normal,2014-03-01,1032,1035,770,780,623,670,2425,2485,4910
ROBORE,estado nutricional,total talla normal,2014-03-01,118,114,77,76,87,63,282,253,535
RURRENABAQUE,estado nutricional,total talla normal,2014-03-01,107,150,76,71,52,47,235,268,503
SABAYA,estado nutricional,total talla normal,2014-03-01,26,24,24,31,25,27,75,82,157
SACABA,estado nutricional,total talla normal,2014-03-01,1262,1273,926,890,656,647,2844,2810,5654
SACABAMBA,estado nutricional,total talla normal,2014-03-01,37,35,33,23,36,31,106,89,195
SACACA,estado nutricional,total talla normal,2014-03-01,177,162,114,115,98,105,389,382,771
SAIPINA,estado nutricional,total talla normal,2014-03-01,58,55,54,43,36,23,148,121,269
SALINAS DE GARCI MENDOZA,estado nutricional,total talla normal,2014-03-01,97,101,83,88,116,132,296,321,617
SAMAIPATA,estado nutricional,total talla normal,2014-03-01,1,0,1,0,0,0,2,0,2
SAN AGUSTIN,estado nutricional,total talla normal,2014-03-01,7,19,7,10,18,15,32,44,76
SAN ANDRES,estado nutricional,total talla normal,2014-03-01,74,75,59,70,85,78,218,223,441
SAN ANDRES DE MACHACA,estado nutricional,total talla normal,2014-03-01,23,20,23,15,18,19,64,54,118
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla normal,2014-03-01,12,14,11,4,4,6,27,24,51
SAN ANTONIO DE LOMERIO,estado nutricional,total talla normal,2014-03-01,44,73,55,64,148,155,247,292,539
SAN BENITO,estado nutricional,total talla normal,2014-03-01,117,111,70,96,92,89,279,296,575
SAN BORJA,estado nutricional,total talla normal,2014-03-01,395,424,278,259,326,331,999,1014,2013
SAN BUENA VENTURA,estado nutricional,total talla normal,2014-03-01,85,66,49,47,54,58,188,171,359
SAN CARLOS,estado nutricional,total talla normal,2014-03-01,192,282,151,187,136,137,479,606,1085
SAN IGNACIO,estado nutricional,total talla normal,2014-03-01,225,218,205,156,267,290,697,664,1361
SAN IGNACIO DE VELASCO,estado nutricional,total talla normal,2014-03-01,723,675,491,497,544,552,1758,1724,3482
SAN JAVIER(BNI),estado nutricional,total talla normal,2014-03-01,18,7,12,17,32,21,62,45,107
SAN JAVIER(STC),estado nutricional,total talla normal,2014-03-01,121,112,72,86,79,64,272,262,534
SAN JOAQUIN,estado nutricional,total talla normal,2014-03-01,40,37,24,20,29,42,93,99,192
SAN JOSE DE CHIQUITOS,estado nutricional,total talla normal,2014-03-01,124,115,80,82,79,75,283,272,555
SAN JUAN DE YAPACANI,estado nutricional,total talla normal,2014-03-01,87,67,62,50,32,43,181,160,341
SAN JULIAN,estado nutricional,total talla normal,2014-03-01,466,407,384,391,345,371,1195,1169,2364
