,group,variable,month,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
VILLA RIVERO,estado nutricional,total talla baja,2014-02-01,4,5,17,10,1,4,22,19,41
VILLA TUNARI,estado nutricional,total talla baja,2014-02-01,25,19,74,59,123,79,222,157,379
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla baja,2014-02-01,3,1,3,4,5,6,11,11,22
VILLAZON,estado nutricional,total talla baja,2014-02-01,10,14,11,15,6,1,27,30,57
VINTO,estado nutricional,total talla baja,2014-02-01,3,2,17,6,11,6,31,14,45
VITICHI,estado nutricional,total talla baja,2014-02-01,6,7,12,4,20,25,38,36,74
WALDO BALLIVIAN,estado nutricional,total talla baja,2014-02-01,0,1,6,4,4,9,10,14,24
WARNES,estado nutricional,total talla baja,2014-02-01,38,19,43,27,26,25,107,71,178
YACO,estado nutricional,total talla baja,2014-02-01,6,8,11,12,18,16,35,36,71
YACUIBA,estado nutricional,total talla baja,2014-02-01,22,10,44,10,31,26,97,46,143
YAMPARAEZ,estado nutricional,total talla baja,2014-02-01,4,3,17,9,47,62,68,74,142
YANACACHI,estado nutricional,total talla baja,2014-02-01,1,1,3,3,2,2,6,6,12
YAPACANI,estado nutricional,total talla baja,2014-02-01,5,2,13,7,13,12,31,21,52
YOCALLA,estado nutricional,total talla baja,2014-02-01,3,3,15,7,5,2,23,12,35
YOTALA,estado nutricional,total talla baja,2014-02-01,3,0,4,4,20,12,27,16,43
YUNCHARA,estado nutricional,total talla baja,2014-02-01,10,11,17,13,29,17,56,41,97
YUNGUYO DE LITORAL,estado nutricional,total talla baja,2014-02-01,0,0,0,0,4,2,4,2,6
ZUDAÑEZ,estado nutricional,total talla baja,2014-02-01,7,9,15,13,53,48,75,70,145
ACACIO,estado nutricional,total talla baja,2014-03-01,7,3,23,17,35,35,65,55,120
ACHACACHI,estado nutricional,total talla baja,2014-03-01,18,9,31,20,17,21,66,50,116
ACHOCALLA,estado nutricional,total talla baja,2014-03-01,9,4,11,4,12,13,32,21,53
AIQUILE,estado nutricional,total talla baja,2014-03-01,7,4,13,5,13,20,33,29,62
ALALAY,estado nutricional,total talla baja,2014-03-01,10,1,6,5,3,5,19,11,30
ALTO BENI,estado nutricional,total talla baja,2014-03-01,1,0,8,4,8,14,17,18,35
ANCORAIMES,estado nutricional,total talla baja,2014-03-01,16,6,15,9,16,18,47,33,80
ANDAMARCA,estado nutricional,total talla baja,2014-03-01,11,5,7,6,25,27,43,38,81
ANTEQUERA,estado nutricional,total talla baja,2014-03-01,4,0,7,11,5,0,16,11,27
ANZALDO,estado nutricional,total talla baja,2014-03-01,3,3,11,5,3,3,17,11,28
APOLO,estado nutricional,total talla baja,2014-03-01,13,4,32,11,17,18,62,33,95
ARAMPAMPA,estado nutricional,total talla baja,2014-03-01,3,2,7,6,8,12,18,20,38
ARANI,estado nutricional,total talla baja,2014-03-01,8,6,8,7,12,10,28,23,51
ARBIETO,estado nutricional,total talla baja,2014-03-01,5,4,7,12,7,10,19,26,45
ARQUE,estado nutricional,total talla baja,2014-03-01,14,11,35,28,46,44,95,83,178
ASCENCION DE GUARAYOS,estado nutricional,total talla baja,2014-03-01,5,6,12,3,10,11,27,20,47
ATOCHA,estado nutricional,total talla baja,2014-03-01,17,12,11,9,28,26,56,47,103
AUCAPATA,estado nutricional,total talla baja,2014-03-01,6,2,7,7,6,9,19,18,37
AYATA,estado nutricional,total talla baja,2014-03-01,4,3,21,24,21,24,46,51,97
AYO AYO,estado nutricional,total talla baja,2014-03-01,10,12,21,20,18,15,49,47,96
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla baja,2014-03-01,27,20,38,38,40,43,105,101,206
AZURDUY,estado nutricional,total talla baja,2014-03-01,19,9,29,19,78,101,126,129,255
BATALLAS,estado nutricional,total talla baja,2014-03-01,5,5,10,16,6,3,21,24,45
BAURES,estado nutricional,total talla baja,2014-03-01,0,0,1,4,4,2,5,6,11
BELEN DE ANDAMARCA,estado nutricional,total talla baja,2014-03-01,2,0,4,2,6,6,12,8,20
BELEN DE URMIRI,estado nutricional,total talla baja,2014-03-01,0,4,4,2,5,4,9,10,19
BELLA FLOR,estado nutricional,total talla baja,2014-03-01,0,2,4,1,5,0,9,3,12
BERMEJO,estado nutricional,total talla baja,2014-03-01,7,5,8,4,8,9,23,18,41
BETANZOS,estado nutricional,total talla baja,2014-03-01,35,26,101,57,123,106,259,189,448
BOLIVAR,estado nutricional,total talla baja,2014-03-01,39,26,39,29,40,51,118,106,224
BOLPEBRA,estado nutricional,total talla baja,2014-03-01,3,1,3,1,8,3,14,5,19
BOYUIBE,estado nutricional,total talla baja,2014-03-01,2,1,4,2,0,3,6,6,12
BUENA VISTA,estado nutricional,total talla baja,2014-03-01,0,1,1,1,0,2,1,4,5
CABEZAS,estado nutricional,total talla baja,2014-03-01,0,0,11,2,3,2,14,4,18
CAIROMA,estado nutricional,total talla baja,2014-03-01,6,3,16,7,8,15,30,25,55
"CAIZA ""D""",estado nutricional,total talla baja,2014-03-01,6,3,17,9,17,20,40,32,72
CAJUATA,estado nutricional,total talla baja,2014-03-01,8,6,3,7,12,7,23,20,43
CALACOTO,estado nutricional,total talla baja,2014-03-01,1,1,1,7,2,2,4,10,14
CALAMARCA,estado nutricional,total talla baja,2014-03-01,11,1,28,12,24,32,63,45,108
CAMARGO,estado nutricional,total talla baja,2014-03-01,16,5,37,11,46,51,99,67,166
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla baja,2014-03-01,0,2,6,2,11,10,17,14,31
CAMIRI,estado nutricional,total talla baja,2014-03-01,2,1,1,3,4,7,7,11,18
CAPINOTA,estado nutricional,total talla baja,2014-03-01,8,14,22,8,12,8,42,30,72
CAQUIAVIRI,estado nutricional,total talla baja,2014-03-01,7,9,17,5,10,13,34,27,61
CARACOLLO,estado nutricional,total talla baja,2014-03-01,9,8,29,14,27,26,65,48,113
CARANAVI,estado nutricional,total talla baja,2014-03-01,14,15,34,20,48,66,96,101,197
CARANGAS,estado nutricional,total talla baja,2014-03-01,0,0,1,0,1,0,2,0,2
CARAPARI,estado nutricional,total talla baja,2014-03-01,1,1,6,1,6,4,13,6,19
CARIPUYO,estado nutricional,total talla baja,2014-03-01,11,10,38,18,42,47,91,75,166
CATACORA,estado nutricional,total talla baja,2014-03-01,2,0,3,2,7,3,12,5,17
CHALLAPATA,estado nutricional,total talla baja,2014-03-01,51,12,69,39,43,27,163,78,241
CHAQUI,estado nutricional,total talla baja,2014-03-01,14,5,20,14,20,16,54,35,89
CHARAGUA,estado nutricional,total talla baja,2014-03-01,2,0,3,0,1,2,6,2,8
CHARAÑA,estado nutricional,total talla baja,2014-03-01,1,0,2,1,0,0,3,1,4
CHAYANTA,estado nutricional,total talla baja,2014-03-01,32,23,39,41,32,34,103,98,201
CHIMORE,estado nutricional,total talla baja,2014-03-01,4,1,7,6,13,8,24,15,39
CHIPAYA,estado nutricional,total talla baja,2014-03-01,1,1,5,1,0,3,6,5,11
CHOQUE COTA,estado nutricional,total talla baja,2014-03-01,0,4,0,7,1,0,1,11,12
CHUA COCANI,estado nutricional,total talla baja,2014-03-01,0,4,0,0,3,2,3,6,9
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla baja,2014-03-01,0,1,0,1,1,0,1,2,3
CHUMA,estado nutricional,total talla baja,2014-03-01,11,1,16,4,13,14,40,19,59
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla baja,2014-03-01,4,4,22,12,4,8,30,24,54
CKOCHAS,estado nutricional,total talla baja,2014-03-01,19,17,51,42,71,64,141,123,264
CLIZA,estado nutricional,total talla baja,2014-03-01,3,3,10,2,3,3,16,8,24
COBIJA,estado nutricional,total talla baja,2014-03-01,23,18,36,13,23,12,82,43,125
COCAPATA,estado nutricional,total talla baja,2014-03-01,17,17,35,42,78,89,130,148,278
COCHABAMBA,estado nutricional,total talla baja,2014-03-01,130,120,194,175,159,161,483,456,939
COIPASA,estado nutricional,total talla baja,2014-03-01,1,0,0,0,0,0,1,0,1
COLCAPIRHUA,estado nutricional,total talla baja,2014-03-01,5,4,16,15,12,9,33,28,61
"COLCHA ""K""",estado nutricional,total talla baja,2014-03-01,9,2,19,13,9,7,37,22,59
COLLANA,estado nutricional,total talla baja,2014-03-01,0,2,4,0,2,6,6,8,14
COLOMI,estado nutricional,total talla baja,2014-03-01,13,8,42,32,35,32,90,72,162
COLQUECHACA,estado nutricional,total talla baja,2014-03-01,56,47,109,103,82,81,247,231,478
COLQUENCHA,estado nutricional,total talla baja,2014-03-01,4,6,21,9,13,12,38,27,65
COLQUIRI,estado nutricional,total talla baja,2014-03-01,25,18,18,16,26,15,69,49,118
COMANCHE,estado nutricional,total talla baja,2014-03-01,0,2,4,6,1,1,5,9,14
COMARAPA,estado nutricional,total talla baja,2014-03-01,4,8,12,7,22,18,38,33,71
COMBAYA,estado nutricional,total talla baja,2014-03-01,2,0,1,0,6,3,9,3,12
CONCEPCION,estado nutricional,total talla baja,2014-03-01,4,2,9,6,18,14,31,22,53
COPACABANA,estado nutricional,total talla baja,2014-03-01,6,2,3,9,11,11,20,22,42
CORIPATA,estado nutricional,total talla baja,2014-03-01,1,0,4,0,0,0,5,0,5
CORO CORO,estado nutricional,total talla baja,2014-03-01,7,3,17,8,16,8,40,19,59
COROICO,estado nutricional,total talla baja,2014-03-01,0,0,3,3,0,0,3,3,6
CORQUE,estado nutricional,total talla baja,2014-03-01,9,4,5,5,5,7,19,16,35
COTAGAITA,estado nutricional,total talla baja,2014-03-01,14,9,49,36,51,39,114,84,198
COTOCA,estado nutricional,total talla baja,2014-03-01,3,2,7,0,3,4,13,6,19
CUATRO CAÑADAS,estado nutricional,total talla baja,2014-03-01,0,0,0,1,0,3,0,4,4
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla baja,2014-03-01,0,0,0,2,1,0,1,2,3
CUEVO,estado nutricional,total talla baja,2014-03-01,2,3,0,1,5,9,7,13,20
CULPINA,estado nutricional,total talla baja,2014-03-01,7,6,18,9,13,18,38,33,71
CURAHUARA DE CARANGAS,estado nutricional,total talla baja,2014-03-01,9,6,13,10,10,6,32,22,54
CURVA,estado nutricional,total talla baja,2014-03-01,4,1,7,7,15,15,26,23,49
DESAGUADERO,estado nutricional,total talla baja,2014-03-01,2,1,1,3,0,4,3,8,11
EL ALTO,estado nutricional,total talla baja,2014-03-01,599,402,584,392,430,322,1613,1116,2729
EL CHORO,estado nutricional,total talla baja,2014-03-01,4,1,5,3,3,0,12,4,16
EL PUENTE(STC),estado nutricional,total talla baja,2014-03-01,0,1,3,2,2,0,5,3,8
EL PUENTE(TJA),estado nutricional,total talla baja,2014-03-01,7,3,8,14,21,16,36,33,69
EL TORNO,estado nutricional,total talla baja,2014-03-01,7,4,5,10,14,13,26,27,53
ENTRE RIOS TRJ,estado nutricional,total talla baja,2014-03-01,4,3,6,5,10,16,20,24,44
ENTRE RIOS CBBA,estado nutricional,total talla baja,2014-03-01,3,4,11,10,13,9,27,23,50
ESCARA,estado nutricional,total talla baja,2014-03-01,1,1,1,0,3,0,5,1,6
ESCOMA,estado nutricional,total talla baja,2014-03-01,2,4,4,2,5,13,11,19,30
ESMERALDA,estado nutricional,total talla baja,2014-03-01,0,0,0,1,0,0,0,1,1
EUCALIPTUS,estado nutricional,total talla baja,2014-03-01,1,2,12,2,5,5,18,9,27
EUREKA (SANTOS MERCADO),estado nutricional,total talla baja,2014-03-01,0,0,0,1,0,1,0,2,2
EXALTACION,estado nutricional,total talla baja,2014-03-01,0,0,0,1,2,1,2,2,4
FERNANDEZ ALONSO,estado nutricional,total talla baja,2014-03-01,4,2,10,2,8,7,22,11,33
FILADELFIA,estado nutricional,total talla baja,2014-03-01,1,0,6,1,1,2,8,3,11
GENERAL SAAVEDRA,estado nutricional,total talla baja,2014-03-01,5,4,10,8,15,8,30,20,50
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla baja,2014-03-01,16,7,27,6,20,15,63,28,91
GUANAY,estado nutricional,total talla baja,2014-03-01,3,3,5,3,18,11,26,17,43
GUAQUI,estado nutricional,total talla baja,2014-03-01,4,0,3,4,5,9,12,13,25
GUAYARAMERIN,estado nutricional,total talla baja,2014-03-01,43,34,45,20,35,35,123,89,212
GUTIERREZ,estado nutricional,total talla baja,2014-03-01,14,9,32,16,37,60,83,85,168
HUACARETA,estado nutricional,total talla baja,2014-03-01,4,1,8,5,8,12,20,18,38
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla baja,2014-03-01,1,1,4,0,5,3,10,4,14
HUACHACALLA,estado nutricional,total talla baja,2014-03-01,1,0,2,2,1,1,4,3,7
HUANUNI,estado nutricional,total talla baja,2014-03-01,30,19,36,22,29,25,95,66,161
HUARACAJE,estado nutricional,total talla baja,2014-03-01,0,0,0,0,2,0,2,0,2
HUARINA,estado nutricional,total talla baja,2014-03-01,2,1,8,0,2,4,12,5,17
HUATAJATA,estado nutricional,total talla baja,2014-03-01,3,1,6,1,1,3,10,5,15
HUAYLLAMARCA,estado nutricional,total talla baja,2014-03-01,1,3,4,4,8,2,13,9,22
HUMANATA,estado nutricional,total talla baja,2014-03-01,13,1,20,10,19,11,52,22,74
ICHOCA,estado nutricional,total talla baja,2014-03-01,13,9,16,15,13,13,42,37,79
ICLA,estado nutricional,total talla baja,2014-03-01,14,11,20,20,82,62,116,93,209
INGAVI (HUMAITA),estado nutricional,total talla baja,2014-03-01,1,0,3,3,5,4,9,7,16
INQUISIVI,estado nutricional,total talla baja,2014-03-01,8,5,5,5,9,6,22,16,38
IRUPANA (VILLA DE LANZA),estado nutricional,total talla baja,2014-03-01,0,2,0,2,0,0,0,4,4
IXIAMAS,estado nutricional,total talla baja,2014-03-01,3,0,2,7,5,3,10,10,20
JESUS DE MACHACA,estado nutricional,total talla baja,2014-03-01,6,3,6,6,11,13,23,22,45
LA ASUNTA,estado nutricional,total talla baja,2014-03-01,2,3,7,7,5,3,14,13,27
LA GUARDIA,estado nutricional,total talla baja,2014-03-01,11,6,5,6,9,8,25,20,45
LA PAZ,estado nutricional,total talla baja,2014-03-01,483,278,438,265,274,260,1195,803,1998
LAGUNILLAS,estado nutricional,total talla baja,2014-03-01,2,2,13,5,7,9,22,16,38
LAJA,estado nutricional,total talla baja,2014-03-01,6,8,18,16,4,4,28,28,56
LAS CARRERAS,estado nutricional,total talla baja,2014-03-01,0,0,3,1,5,6,8,7,15
LICOMA PAMPA,estado nutricional,total talla baja,2014-03-01,0,0,2,0,1,2,3,2,5
LLALLAGUA,estado nutricional,total talla baja,2014-03-01,27,30,47,32,50,36,124,98,222
LLICA,estado nutricional,total talla baja,2014-03-01,4,1,3,2,7,0,14,3,17
LORETO,estado nutricional,total talla baja,2014-03-01,0,0,3,2,0,1,3,3,6
LURIBAY,estado nutricional,total talla baja,2014-03-01,2,2,6,3,8,2,16,7,23
MACHACAMARCA,estado nutricional,total talla baja,2014-03-01,6,4,12,7,8,11,26,22,48
MACHARETI,estado nutricional,total talla baja,2014-03-01,5,4,3,2,11,4,19,10,29
MAGDALENA,estado nutricional,total talla baja,2014-03-01,5,8,14,6,5,2,24,16,40
MAIRANA,estado nutricional,total talla baja,2014-03-01,1,0,5,1,0,2,6,3,9
MALLA,estado nutricional,total talla baja,2014-03-01,2,2,3,6,11,7,16,15,31
MAPIRI,estado nutricional,total talla baja,2014-03-01,3,1,10,1,7,5,20,7,27
MECAPACA,estado nutricional,total talla baja,2014-03-01,0,1,6,4,13,7,19,12,31
MINEROS,estado nutricional,total talla baja,2014-03-01,0,1,5,2,5,3,10,6,16
MIZQUE,estado nutricional,total talla baja,2014-03-01,27,35,48,36,62,55,137,126,263
MOCOMOCO,estado nutricional,total talla baja,2014-03-01,5,3,11,13,14,12,30,28,58
MOJINETE,estado nutricional,total talla baja,2014-03-01,0,0,1,1,1,1,2,2,4
MOJOCOYA,estado nutricional,total talla baja,2014-03-01,7,1,15,3,25,32,47,36,83
MONTEAGUDO,estado nutricional,total talla baja,2014-03-01,3,1,13,6,13,16,29,23,52
MONTERO,estado nutricional,total talla baja,2014-03-01,17,19,26,18,17,32,60,69,129
MORO MORO,estado nutricional,total talla baja,2014-03-01,1,1,2,1,0,2,3,4,7
MOROCHATA,estado nutricional,total talla baja,2014-03-01,19,14,40,25,54,66,113,105,218
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla baja,2014-03-01,2,0,4,2,5,3,11,5,16
NAZACARA DE PACAJES,estado nutricional,total talla baja,2014-03-01,0,1,1,1,0,1,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla baja,2014-03-01,1,0,9,3,4,2,14,5,19
OCURI,estado nutricional,total talla baja,2014-03-01,18,17,62,37,67,57,147,111,258
OKINAWA,estado nutricional,total talla baja,2014-03-01,0,4,2,3,3,5,5,12,17
OMEREQUE,estado nutricional,total talla baja,2014-03-01,3,1,2,2,2,1,7,4,11
ORURO,estado nutricional,total talla baja,2014-03-01,246,159,373,229,158,163,777,551,1328
PADCAYA,estado nutricional,total talla baja,2014-03-01,2,0,3,5,7,7,12,12,24
PAILON,estado nutricional,total talla baja,2014-03-01,2,1,2,3,3,2,7,6,13
PALCA,estado nutricional,total talla baja,2014-03-01,18,5,22,12,22,11,62,28,90
PALOS BLANCOS,estado nutricional,total talla baja,2014-03-01,5,10,29,16,29,33,63,59,122
PAMPA AULLAGAS,estado nutricional,total talla baja,2014-03-01,4,2,9,9,2,4,15,15,30
PAMPA GRANDE,estado nutricional,total talla baja,2014-03-01,0,0,0,1,0,2,0,3,3
PAPEL PAMPA,estado nutricional,total talla baja,2014-03-01,3,5,4,3,8,2,15,10,25
PASORAPA,estado nutricional,total talla baja,2014-03-01,0,0,7,1,3,8,10,9,19
PATACAMAYA,estado nutricional,total talla baja,2014-03-01,28,12,28,16,14,12,70,40,110
PAZÑA,estado nutricional,total talla baja,2014-03-01,4,2,15,12,17,11,36,25,61
PELECHUCO,estado nutricional,total talla baja,2014-03-01,3,2,14,8,15,7,32,17,49
POCOATA,estado nutricional,total talla baja,2014-03-01,29,18,71,55,76,61,176,134,310
POCONA,estado nutricional,total talla baja,2014-03-01,7,6,23,11,11,10,41,27,68
POJO (CBBA),estado nutricional,total talla baja,2014-03-01,7,3,16,8,13,13,36,24,60
POOPO,estado nutricional,total talla baja,2014-03-01,5,1,11,3,5,6,21,10,31
PORCO,estado nutricional,total talla baja,2014-03-01,18,10,35,13,14,6,67,29,96
POROMA,estado nutricional,total talla baja,2014-03-01,30,11,41,26,61,61,132,98,230
PORONGO,estado nutricional,total talla baja,2014-03-01,0,0,1,0,0,1,1,1,2
PORTACHUELO,estado nutricional,total talla baja,2014-03-01,0,1,3,2,2,2,5,5,10
PORVENIR,estado nutricional,total talla baja,2014-03-01,4,1,1,2,8,3,13,6,19
POSTRER VALLE,estado nutricional,total talla baja,2014-03-01,1,0,4,1,0,2,5,3,8
POTOSI,estado nutricional,total talla baja,2014-03-01,244,145,338,211,131,108,713,464,1177
PRESTO,estado nutricional,total talla baja,2014-03-01,8,8,31,24,74,60,113,92,205
PUCARA,estado nutricional,total talla baja,2014-03-01,1,0,1,0,3,8,5,8,13
PUCARANI,estado nutricional,total talla baja,2014-03-01,13,10,15,10,12,9,40,29,69
PUERTO ACOSTA,estado nutricional,total talla baja,2014-03-01,6,7,9,9,5,5,20,21,41
PUERTO CARABUCO,estado nutricional,total talla baja,2014-03-01,8,3,7,7,12,18,27,28,55
PUERTO GONZALO MORENO,estado nutricional,total talla baja,2014-03-01,15,10,15,21,27,23,57,54,111
PUERTO PEREZ,estado nutricional,total talla baja,2014-03-01,0,0,3,1,3,1,6,2,8
PUERTO RICO,estado nutricional,total talla baja,2014-03-01,3,1,17,4,20,21,40,26,66
PUERTO SILES,estado nutricional,total talla baja,2014-03-01,0,0,0,0,1,0,1,0,1
PUERTO SUAREZ,estado nutricional,total talla baja,2014-03-01,5,7,2,4,5,4,12,15,27
PUERTO VILLARROEL,estado nutricional,total talla baja,2014-03-01,18,10,34,27,33,28,85,65,150
PUNA,estado nutricional,total talla baja,2014-03-01,13,7,31,30,35,48,79,85,164
PUNATA,estado nutricional,total talla baja,2014-03-01,20,9,22,14,11,10,53,33,86
QUIABAYA,estado nutricional,total talla baja,2014-03-01,6,3,4,5,3,8,13,16,29
QUILLACOLLO,estado nutricional,total talla baja,2014-03-01,44,54,106,104,115,111,265,269,534
QUIME,estado nutricional,total talla baja,2014-03-01,6,5,6,2,8,7,20,14,34
QUIRUSILLAS,estado nutricional,total talla baja,2014-03-01,0,0,1,0,3,1,4,1,5
RAVELO,estado nutricional,total talla baja,2014-03-01,18,19,64,48,105,104,187,171,358
REYES,estado nutricional,total talla baja,2014-03-01,5,4,9,8,5,0,19,12,31
RIBERALTA,estado nutricional,total talla baja,2014-03-01,34,24,79,52,53,54,166,130,296
ROBORE,estado nutricional,total talla baja,2014-03-01,0,0,2,2,0,2,2,4,6
RURRENABAQUE,estado nutricional,total talla baja,2014-03-01,11,4,13,4,11,7,35,15,50
SABAYA,estado nutricional,total talla baja,2014-03-01,1,0,1,0,4,2,6,2,8
SACABA,estado nutricional,total talla baja,2014-03-01,61,38,64,38,63,56,188,132,320
SACABAMBA,estado nutricional,total talla baja,2014-03-01,2,1,8,4,6,4,16,9,25
SACACA,estado nutricional,total talla baja,2014-03-01,31,28,109,53,56,63,196,144,340
SAIPINA,estado nutricional,total talla baja,2014-03-01,1,0,3,2,2,3,6,5,11
SALINAS DE GARCI MENDOZA,estado nutricional,total talla baja,2014-03-01,20,8,41,25,35,25,96,58,154
SAMAIPATA,estado nutricional,total talla baja,2014-03-01,0,1,0,0,4,0,4,1,5
SAN AGUSTIN,estado nutricional,total talla baja,2014-03-01,1,1,2,0,3,2,6,3,9
SAN ANDRES,estado nutricional,total talla baja,2014-03-01,0,1,1,0,4,3,5,4,9
SAN ANDRES DE MACHACA,estado nutricional,total talla baja,2014-03-01,0,0,4,3,3,2,7,5,12
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla baja,2014-03-01,3,1,1,2,4,1,8,4,12
SAN ANTONIO DE LOMERIO,estado nutricional,total talla baja,2014-03-01,3,4,8,9,14,21,25,34,59
SAN BENITO,estado nutricional,total talla baja,2014-03-01,5,2,11,7,4,3,20,12,32
SAN BORJA,estado nutricional,total talla baja,2014-03-01,40,13,63,37,76,49,179,99,278
SAN BUENA VENTURA,estado nutricional,total talla baja,2014-03-01,2,2,1,5,3,1,6,8,14
SAN CARLOS,estado nutricional,total talla baja,2014-03-01,0,3,2,0,4,2,6,5,11
SAN IGNACIO,estado nutricional,total talla baja,2014-03-01,18,11,28,21,41,35,87,67,154
SAN IGNACIO DE VELASCO,estado nutricional,total talla baja,2014-03-01,30,19,41,25,38,36,109,80,189
SAN JAVIER(BNI),estado nutricional,total talla baja,2014-03-01,0,0,1,0,1,1,2,1,3
SAN JAVIER(STC),estado nutricional,total talla baja,2014-03-01,4,0,2,2,0,1,6,3,9
SAN JOAQUIN,estado nutricional,total talla baja,2014-03-01,0,0,0,4,2,1,2,5,7
SAN JOSE DE CHIQUITOS,estado nutricional,total talla baja,2014-03-01,6,2,1,1,3,0,10,3,13
SAN JUAN DE YAPACANI,estado nutricional,total talla baja,2014-03-01,0,1,0,3,1,0,1,4,5
SAN JULIAN,estado nutricional,total talla baja,2014-03-01,3,3,2,9,4,5,9,17,26
SAN LORENZO(PND),estado nutricional,total talla baja,2014-03-01,3,3,5,3,1,1,9,7,16
SAN LORENZO(TJA),estado nutricional,total talla baja,2014-03-01,11,17,23,13,13,11,47,41,88
SAN LUCAS,estado nutricional,total talla baja,2014-03-01,46,29,96,77,161,179,303,285,588
SAN MATIAS,estado nutricional,total talla baja,2014-03-01,0,0,3,4,1,0,4,4,8
SAN MIGUEL DE VELASCO,estado nutricional,total talla baja,2014-03-01,14,5,21,9,19,14,54,28,82
SAN PABLO DE LIPEZ,estado nutricional,total talla baja,2014-03-01,1,2,4,2,1,2,6,6,12
SAN PEDRO,estado nutricional,total talla baja,2014-03-01,0,2,2,3,5,5,7,10,17
SAN PEDRO DE BUENA VISTA,estado nutricional,total talla baja,2014-03-01,28,31,81,55,78,68,187,154,341
SAN PEDRO DE CURAHUARA,estado nutricional,total talla baja,2014-03-01,3,0,5,3,1,1,9,4,13
SAN PEDRO DE QUEMES,estado nutricional,total talla baja,2014-03-01,0,0,0,0,1,0,1,0,1
SAN PEDRO DE TIQUINA,estado nutricional,total talla baja,2014-03-01,4,2,5,2,1,3,10,7,17
SAN PEDRO(PND),estado nutricional,total talla baja,2014-03-01,0,0,2,0,1,0,3,0,3
SAN RAFAEL,estado nutricional,total talla baja,2014-03-01,1,1,5,1,5,4,11,6,17
SAN RAMON BENI,estado nutricional,total talla baja,2014-03-01,2,1,4,0,0,0,6,1,7
SAN RAMON SCZ,estado nutricional,total talla baja,2014-03-01,3,2,2,1,1,0,6,3,9
SANTA ANA,estado nutricional,total talla baja,2014-03-01,6,5,13,3,3,4,22,12,34
SANTA CRUZ DE LA SIERRA,estado nutricional,total talla baja,2014-03-01,151,150,111,93,105,100,367,343,710
SANTA ROSA,estado nutricional,total talla baja,2014-03-01,2,5,4,5,0,2,6,12,18
SANTA ROSA DEL SARA,estado nutricional,total talla baja,2014-03-01,4,0,4,2,5,2,13,4,17
SANTIAGO DE CALLAPA,estado nutricional,total talla baja,2014-03-01,0,2,3,1,0,3,3,6,9
SANTIAGO DE HUARI,estado nutricional,total talla baja,2014-03-01,4,4,10,10,14,15,28,29,57
SANTIAGO DE HUATA,estado nutricional,total talla baja,2014-03-01,3,0,13,4,7,6,23,10,33
SANTIAGO DE MACHACA,estado nutricional,total talla baja,2014-03-01,4,3,10,6,8,8,22,17,39
SANTIVAÑES,estado nutricional,total talla baja,2014-03-01,5,1,4,4,3,7,12,12,24
SANTUARIO DE QUILLACAS,estado nutricional,total talla baja,2014-03-01,0,7,10,3,14,7,24,17,41
SAPAHAQUI,estado nutricional,total talla baja,2014-03-01,3,4,17,7,8,5,28,16,44
SENA,estado nutricional,total talla baja,2014-03-01,2,1,1,2,4,6,7,9,16
SHINAOTA,estado nutricional,total talla baja,2014-03-01,7,9,24,17,11,16,42,42,84
SICA SICA (VILLA AROMA),estado nutricional,total talla baja,2014-03-01,10,6,30,15,29,19,69,40,109
SICAYA,estado nutricional,total talla baja,2014-03-01,2,2,7,4,10,7,19,13,32
SIPE SIPE,estado nutricional,total talla baja,2014-03-01,23,19,43,25,30,18,96,62,158
SOPACHUY,estado nutricional,total talla baja,2014-03-01,6,2,13,7,31,33,50,42,92
SORACACHI,estado nutricional,total talla baja,2014-03-01,8,6,20,13,20,15,48,34,82
SORATA,estado nutricional,total talla baja,2014-03-01,4,10,14,11,25,13,43,34,77
SUCRE,estado nutricional,total talla baja,2014-03-01,39,31,115,83,130,112,284,226,510
TACACHI,estado nutricional,total talla baja,2014-03-01,0,0,0,0,0,1,0,1,1
TACACOMA,estado nutricional,total talla baja,2014-03-01,0,1,0,4,12,3,12,8,20
TACOBAMBA,estado nutricional,total talla baja,2014-03-01,6,8,31,18,17,11,54,37,91
TACOPAYA,estado nutricional,total talla baja,2014-03-01,7,8,27,22,22,25,56,55,111
TAPACARI,estado nutricional,total talla baja,2014-03-01,43,22,93,60,83,65,219,147,366
TARABUCO,estado nutricional,total talla baja,2014-03-01,17,17,38,27,108,83,163,127,290
